,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,1.35,1.61,1.76,1.84,1.56,0.33,0.34,0.29,0.57,0.29,0.58,0.16,0.29,0.32,0.25
e_1,0.98,0.44,1.64,1.93,1.67,1.67,0.69,0.44,0.36,0.53,0.43,0.58,0.28,0.37,0.7,0.38
d_1,1.89,2.2,0.4,1.76,2.2,1.38,0.46,0.76,0.37,0.29,0.29,0.3,0.25,0.36,0.3,0.15
c_1,1.82,1.68,2.2,0.41,1.68,1.68,0.48,0.22,0.57,0.48,0.32,0.34,0.28,0.34,0.34,0.28
b_1,2.0,1.89,1.88,0.98,0.4,2.4,0.65,0.42,0.59,0.64,1.14,0.39,0.31,0.42,0.39,0.35
a_1,3.29,2.21,2.63,2.16,1.14,0.33,0.7,0.49,0.52,0.92,0.6,0.5,0.29,1.14,0.42,0.28
h_1,3.08,2.63,2.89,3.0,2.5,2.53,0.32,0.53,0.6,0.87,0.58,0.51,0.85,0.48,0.49,0.42
d_0,3.24,1.69,4.92,3.59,3.37,3.22,0.97,0.39,0.91,0.94,0.54,0.82,0.5,0.63,0.75,0.64
c_0,3.32,3.6,1.55,7.15,3.55,3.25,0.92,0.89,0.36,1.08,0.67,0.53,0.56,0.61,0.6,0.45
g_1,3.31,3.48,3.04,3.89,3.63,2.45,0.64,0.66,0.7,0.29,0.74,0.66,0.35,0.62,0.58,0.69
b_0,3.62,2.84,2.97,4.47,5.5,3.82,0.9,0.72,0.39,0.87,0.33,0.67,0.47,0.64,0.53,0.37
f_0,7.68,3.48,2.87,3.88,3.15,3.37,1.1,0.82,0.82,0.6,0.92,0.31,0.57,0.75,0.84,0.35
h_0,3.74,3.43,3.51,4.37,3.89,4.04,2.05,0.77,0.8,1.02,0.79,0.79,0.91,0.77,0.75,0.58
a_0,4.66,4.13,3.05,3.91,6.86,6.74,1.03,0.83,0.64,1.43,0.42,0.76,0.84,0.31,0.69,0.63
e_0,6.14,5.91,3.96,4.0,5.02,3.58,1.13,0.89,0.84,1.12,0.92,0.4,0.69,0.91,0.32,0.53
g_0,5.28,4.57,3.68,4.26,4.03,4.54,0.98,1.11,0.88,1.77,1.01,0.75,0.48,0.97,0.71,0.87
