,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.91,0.77,0.98,1.02,0.89,0.71,0.7,0.94,0.59,0.67,0.67,0.68,0.58,0.61,0.61
d_1,1.1,1.0,1.08,0.93,0.92,0.73,0.89,0.55,0.78,0.85,0.68,0.57,0.46,0.65,0.53,0.47
f_1,1.3,0.92,1.0,0.93,0.96,1.01,0.53,0.68,0.57,0.62,0.59,0.69,0.51,0.68,0.5,0.61
c_1,1.02,1.07,1.07,1.0,1.38,0.72,0.72,0.67,0.51,0.6,0.53,0.55,0.61,0.57,0.56,0.48
b_1,0.98,1.08,1.04,0.72,1.0,1.38,0.88,0.83,0.73,0.78,0.57,0.64,0.63,0.45,0.6,0.61
a_1,1.12,1.37,0.99,1.38,0.72,1.0,0.69,0.98,0.81,0.85,0.83,0.79,0.87,0.58,0.74,0.76
h_1,1.4,1.15,1.91,1.45,1.07,1.4,1.0,1.07,0.95,0.97,1.03,0.91,0.86,0.75,0.72,0.89
g_1,1.44,1.78,1.46,1.41,1.24,0.99,0.94,1.0,0.81,0.9,0.9,1.19,0.79,0.76,0.86,0.69
d_0,1.01,1.36,1.73,2.07,1.46,1.23,1.03,1.25,1.0,1.0,1.06,0.96,0.97,0.86,0.9,0.81
c_0,1.7,1.17,1.59,1.69,1.34,1.25,1.04,1.19,1.03,1.0,1.36,1.04,0.95,1.02,0.9,0.73
b_0,1.39,1.45,1.69,1.93,1.93,1.19,0.97,1.13,0.95,0.67,1.0,0.98,0.89,1.03,0.8,0.8
f_0,1.49,1.82,1.63,1.79,1.48,1.28,1.17,0.81,1.09,1.01,1.01,1.0,1.02,0.85,1.29,0.7
h_0,1.38,2.11,1.97,1.63,1.68,1.11,1.19,1.28,1.02,1.02,1.05,0.96,1.0,0.92,0.85,1.06
a_0,1.61,1.47,1.52,1.8,2.17,1.39,1.36,1.33,1.09,0.9,1.0,1.23,1.17,1.0,0.93,0.99
e_0,1.49,1.84,2.02,1.91,1.71,1.33,1.41,1.12,1.2,1.14,1.29,0.73,1.13,1.13,1.0,1.21
g_0,1.61,2.19,1.72,2.12,1.63,1.29,1.09,,1.26,1.32,1.32,1.38,0.95,1.04,0.82,1.0
