,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.97,0.99,0.98,1.47,0.66,1.17,1.08,0.71,0.74,1.16,0.86,1.06,0.98,0.83,0.91
f_1,1.04,1.0,1.08,1.33,0.87,0.84,0.84,1.2,0.87,0.92,0.75,0.95,0.86,0.68,0.93,1.07
d_1,1.01,0.92,1.0,0.99,1.12,0.98,1.02,0.83,1.07,1.34,0.94,1.12,1.08,1.18,0.91,0.79
e_1,1.02,0.75,1.01,1.0,1.0,1.07,0.98,0.96,1.38,0.96,1.05,0.98,1.17,1.41,0.94,1.14
b_1,0.68,1.15,0.89,1.0,1.0,1.57,1.28,1.03,1.15,1.09,0.95,1.08,0.93,0.96,1.08,0.9
a_1,1.51,1.2,1.02,0.93,0.64,1.0,0.88,1.12,1.02,1.05,0.88,1.06,1.02,1.24,0.87,1.12
h_1,0.88,1.21,0.97,1.0,0.79,1.08,1.0,1.07,1.06,1.03,1.02,1.12,1.05,0.7,0.95,1.23
g_1,0.95,0.85,1.2,0.96,0.98,0.87,0.96,1.0,0.93,0.95,1.38,0.92,0.77,1.16,1.22,1.02
d_0,1.46,1.2,0.96,0.7,0.91,0.88,0.96,1.04,1.0,0.89,1.15,0.91,0.92,1.01,1.05,1.05
c_0,1.33,1.1,0.78,1.01,0.89,0.97,1.02,1.03,1.07,1.0,1.03,1.42,1.14,1.21,1.32,1.24
f_0,0.91,1.19,1.08,0.94,1.02,1.16,0.91,0.74,0.99,0.97,1.0,1.12,1.03,1.4,1.23,0.9
b_0,1.08,1.09,0.9,1.01,0.95,0.96,0.9,1.13,1.02,0.73,0.83,1.0,1.07,1.02,1.88,1.02
h_0,0.95,1.18,0.99,0.88,1.02,1.01,0.97,1.31,1.07,0.92,1.09,0.91,1.0,0.9,1.13,1.15
e_0,1.02,1.59,0.85,,1.07,0.8,1.25,0.82,0.91,0.78,0.74,0.99,1.27,1.0,1.03,1.12
a_0,1.22,1.02,1.15,0.97,0.94,,1.05,0.85,0.94,0.73,0.84,0.52,0.88,0.85,1.0,1.12
g_0,1.06,0.94,1.27,0.82,1.09,0.84,0.82,0.95,0.94,0.81,1.15,0.92,0.87,0.86,0.91,1.0
