,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.35,1.13,1.67,1.8,3.06,15.66,29.2,28.02,26.95,34.9,38.18,64.51,104.23,87.05,111.25
e_1,0.74,1.0,1.02,1.59,1.62,2.92,20.27,31.41,38.85,29.21,39.53,52.2,70.14,88.29,109.23,92.79
d_1,0.88,0.97,1.0,1.14,1.66,2.62,17.03,21.44,28.95,34.51,35.43,45.34,66.13,78.09,92.84,70.41
c_1,0.6,0.63,0.88,1.0,1.79,2.14,10.21,17.4,13.51,15.87,23.33,31.44,43.45,58.51,54.69,69.36
b_1,0.55,0.61,0.6,0.56,1.0,2.72,9.69,16.58,18.19,18.53,18.81,28.15,42.37,41.23,55.92,53.53
a_1,0.33,0.35,0.38,0.47,0.37,1.0,6.27,13.39,9.02,9.78,14.57,12.1,24.34,35.86,28.77,28.44
h_1,0.06,0.05,0.06,0.09,0.1,0.16,1.0,1.92,1.81,1.6,2.24,2.77,3.97,4.67,6.09,6.99
g_1,0.03,0.04,0.05,0.05,0.06,0.07,0.51,1.0,1.0,1.02,1.29,2.12,1.93,3.08,3.08,3.83
d_0,0.03,0.03,0.04,0.07,0.06,0.11,0.55,0.99,1.0,0.75,1.15,1.51,2.59,3.04,3.36,3.3
c_0,0.04,0.03,0.03,0.06,0.05,0.1,0.63,0.98,1.38,1.0,1.86,1.54,2.7,2.97,3.56,3.56
b_0,0.03,0.03,0.03,0.04,0.06,0.07,0.46,0.76,0.88,0.56,1.0,1.42,1.82,3.48,2.52,2.69
f_0,0.03,0.02,0.02,0.03,0.04,0.08,0.34,0.47,0.71,0.6,0.69,1.0,1.42,1.81,2.91,1.73
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.26,0.52,0.38,0.37,0.54,0.66,1.0,1.44,1.04,1.69
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.32,0.36,0.33,0.3,0.57,0.72,1.0,1.07,0.94
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.31,0.29,0.3,0.4,0.37,1.01,0.94,1.0,1.12
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.15,0.26,0.3,0.29,0.37,0.56,0.6,1.11,0.93,1.0
