,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.86,0.84,0.94,0.9,0.75,0.2,0.26,0.19,0.2,0.2,0.22,0.12,0.18,0.13,0.18
d_1,1.07,0.41,1.03,0.94,0.83,0.8,0.26,0.17,0.18,0.29,0.17,0.18,0.12,0.19,0.1,0.17
e_1,0.62,1.02,0.41,1.09,0.98,0.87,0.27,0.31,0.22,0.21,0.19,0.23,0.14,0.19,0.16,0.25
c_1,0.93,1.29,0.82,0.39,1.03,0.98,0.3,0.3,0.26,0.12,0.18,0.2,0.13,0.17,0.15,0.2
b_1,1.11,1.07,1.12,0.61,0.38,1.01,0.32,0.29,0.28,0.2,0.34,0.23,0.16,0.25,0.15,0.19
a_1,1.31,1.25,1.25,1.16,0.64,0.34,0.36,0.36,0.28,0.25,0.39,0.23,0.18,0.37,0.18,0.24
h_1,1.82,1.54,1.65,1.83,1.68,1.41,0.28,0.45,0.35,0.39,0.31,0.31,0.3,0.29,0.24,0.29
g_1,2.12,1.74,1.71,2.12,1.87,1.63,0.47,0.27,0.38,0.37,0.38,0.38,0.24,0.35,0.32,0.36
c_0,2.16,1.26,2.0,3.23,2.16,1.89,0.59,0.49,0.28,0.57,0.41,0.43,0.27,0.41,0.25,0.43
d_0,1.74,2.56,1.34,2.4,2.3,2.15,0.68,0.68,0.42,0.31,0.41,0.43,0.29,0.38,0.3,0.47
b_0,2.21,1.7,2.11,3.26,2.82,1.91,0.66,0.53,0.26,0.45,0.27,0.4,0.3,0.45,0.29,0.41
f_0,2.57,2.02,1.98,2.46,2.04,2.16,0.68,0.43,0.42,0.46,0.38,0.27,0.3,0.35,0.22,0.43
h_0,2.4,2.41,2.17,2.72,2.58,2.13,0.97,0.63,0.48,0.5,0.47,0.5,0.43,0.39,0.38,0.45
a_0,2.72,2.23,2.62,2.87,3.53,3.03,0.7,0.72,0.4,0.54,0.29,0.52,0.33,0.26,0.32,0.59
g_0,2.79,2.24,2.73,2.56,2.91,2.52,0.64,0.83,0.5,0.58,0.48,0.49,0.26,0.51,0.41,0.46
e_0,3.41,2.64,3.5,2.47,2.23,2.6,0.76,0.6,0.5,0.47,0.51,0.29,0.37,0.48,0.3,0.26
