,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,1.47,1.23,1.25,1.18,1.13,0.57,0.68,0.5,0.5,0.63,1.21,0.39,0.45,0.58,0.68
e_1,0.8,0.41,1.44,1.39,1.34,1.65,0.77,0.81,0.58,0.72,0.53,0.67,0.44,1.44,0.69,0.5
d_1,1.37,1.31,0.41,1.42,1.22,1.3,0.67,0.44,0.72,1.06,0.58,0.51,0.45,0.6,0.46,0.36
c_1,1.35,1.13,1.35,0.38,1.67,1.15,0.65,0.77,1.2,0.36,0.58,0.53,0.49,0.67,0.55,0.46
b_1,1.39,1.6,1.13,0.8,0.37,1.68,0.69,0.76,0.58,0.67,1.07,0.63,0.65,0.65,0.57,0.51
a_1,1.48,1.31,1.26,1.34,0.81,0.29,0.71,0.76,0.7,0.65,0.81,0.69,0.59,0.53,,0.48
h_1,1.03,0.89,0.97,1.04,1.0,0.88,0.26,0.57,0.39,0.42,0.36,0.54,0.67,0.33,0.46,0.45
g_1,1.0,0.85,1.14,0.94,0.91,1.03,0.49,0.24,0.39,0.39,0.41,0.49,0.29,0.46,0.45,0.48
c_0,1.13,1.15,0.55,1.64,1.08,0.78,0.64,0.71,0.27,0.54,0.56,0.43,0.41,0.39,0.43,0.38
d_0,1.12,0.56,1.89,1.18,0.98,0.98,0.56,0.81,0.39,0.27,0.36,0.37,0.36,0.54,0.48,0.44
b_0,0.97,0.82,0.92,1.15,1.51,0.92,0.6,0.52,0.27,0.46,0.26,0.4,0.41,0.43,0.45,0.36
f_0,1.75,0.77,0.95,1.0,0.88,1.0,0.43,0.35,0.4,0.49,0.38,0.25,0.41,0.66,0.47,0.25
h_0,1.01,0.93,1.02,0.96,0.87,0.85,0.74,0.6,0.4,0.41,0.36,0.34,0.6,0.33,0.44,0.36
e_0,1.4,1.18,0.86,0.95,0.97,0.73,0.64,0.55,0.42,0.36,0.41,0.23,0.44,0.21,0.37,0.36
a_0,0.93,0.91,1.05,1.11,1.12,,0.43,0.52,0.38,0.42,0.24,0.39,0.37,0.38,0.21,0.33
g_0,0.86,0.93,1.22,1.0,1.03,0.91,0.37,0.75,0.36,0.38,0.47,0.42,0.33,0.42,0.32,0.52
