,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.25,1.58,1.28,1.47,2.93,23.58,24.89,33.8,45.01,64.53,,79.81,72.06,108.32,154.55
c_1,0.8,1.0,1.08,1.64,1.84,3.09,15.45,19.19,,32.44,41.07,44.01,73.9,74.7,100.23,115.53
e_1,0.63,0.93,1.0,1.28,1.09,2.47,20.52,28.97,28.8,28.4,47.37,41.34,56.65,76.64,,98.23
b_1,0.78,0.61,0.78,1.0,1.16,3.1,21.24,18.05,24.11,28.92,,41.02,68.6,61.25,87.98,74.32
d_1,0.68,0.54,0.92,0.86,1.0,1.83,14.29,,35.9,14.88,35.6,42.73,84.02,68.68,89.49,67.77
a_1,0.34,0.32,0.41,0.32,0.55,1.0,8.19,8.5,8.83,8.98,15.15,18.69,,32.02,43.67,40.37
h_1,0.04,0.06,0.05,0.05,0.07,0.12,1.0,1.19,1.4,1.65,2.43,2.05,4.07,,,5.55
d_0,0.04,0.05,0.03,0.06,,0.12,0.84,1.0,1.19,1.06,1.23,2.01,2.39,3.03,4.6,4.16
c_0,0.03,,0.03,0.04,0.03,0.11,0.71,0.84,1.0,1.05,1.9,2.25,2.85,3.23,3.89,3.84
g_1,0.02,0.03,0.04,0.03,0.07,0.11,0.61,0.95,0.96,1.0,1.55,2.15,2.67,3.02,,
b_0,0.02,0.02,0.02,,0.03,0.07,0.41,0.81,0.53,0.65,1.0,1.0,3.24,1.62,2.39,3.24
f_0,,0.02,0.02,0.02,0.02,0.05,0.49,0.5,0.44,0.47,1.0,1.0,,1.63,2.8,1.71
a_0,0.01,0.01,0.02,0.01,0.01,,0.25,0.42,0.35,0.37,0.31,,1.0,1.39,,1.3
h_0,0.01,0.01,0.01,0.02,0.01,0.03,,0.33,0.31,0.33,0.62,0.61,0.72,,1.2,1.51
e_0,0.01,0.01,,0.01,0.01,0.02,,0.22,0.26,,0.42,0.36,,0.83,1.0,0.97
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.24,0.26,,0.31,0.59,0.77,0.66,1.03,
