,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,1.5,1.76,1.41,1.69,1.75,0.39,0.56,0.35,0.34,0.31,1.64,0.16,0.33,0.32,0.24
e_1,0.97,0.17,2.23,1.94,1.94,1.24,0.48,0.85,0.31,0.31,0.32,0.46,0.22,0.32,1.23,0.24
c_1,1.64,1.56,0.16,1.85,1.64,2.18,0.49,0.49,0.2,1.1,0.35,0.27,0.2,0.35,0.36,0.22
d_1,1.58,2.18,1.4,0.16,1.72,1.29,0.4,0.3,1.44,0.31,0.39,0.33,0.27,0.35,0.37,0.16
b_1,1.85,1.61,1.03,1.51,0.14,2.03,0.44,0.46,0.41,0.49,1.69,0.33,0.28,0.27,0.28,0.27
a_1,2.1,2.06,1.63,1.66,0.94,0.09,0.6,0.51,0.34,0.28,0.37,0.29,0.31,,0.3,0.22
h_1,1.03,0.92,0.98,0.9,0.85,0.91,0.07,0.29,0.21,0.17,0.2,0.19,0.6,0.19,0.16,0.15
g_1,1.21,0.96,0.9,0.81,0.83,0.92,0.23,0.05,0.2,0.18,0.17,0.19,0.1,0.29,0.19,0.3
d_0,1.1,0.44,0.98,3.38,0.88,1.01,0.28,0.3,0.08,0.18,0.19,0.16,0.14,0.24,0.17,0.18
c_0,0.95,0.86,3.74,0.49,0.96,0.92,0.29,0.28,0.24,0.07,0.16,0.17,0.2,0.22,0.19,0.17
b_0,0.86,0.92,1.06,0.71,4.22,0.88,0.27,0.23,0.21,0.09,0.06,0.25,0.14,0.15,0.21,0.2
f_0,2.55,0.83,0.86,0.84,0.84,0.82,0.28,0.13,0.15,0.2,0.18,0.06,0.14,0.24,0.16,0.12
h_0,0.84,1.06,0.8,0.79,1.04,0.99,0.74,0.3,0.19,0.18,0.15,0.18,0.37,0.18,0.14,0.14
a_0,0.89,0.91,1.02,0.91,0.83,,0.26,0.21,0.21,0.17,0.1,0.23,0.13,0.05,0.21,0.12
e_0,1.3,2.71,0.78,0.95,0.76,0.77,0.29,0.18,0.17,0.16,0.15,0.08,0.19,0.3,0.04,0.14
g_0,0.98,0.8,0.91,1.16,0.88,1.24,0.18,0.49,0.17,0.17,0.18,0.16,0.1,0.21,0.18,0.29
