,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,103.59,68.99,91.96,81.51,99.6,268.02,7901.94,13877.44,30218.14,20235.76,23266.14,35120.63,79855.76,97783.63,77490.59,172387.33
f_1,71.85,130.6,75.5,69.11,90.32,184.67,5737.29,13389.41,17443.94,19273.49,20999.37,19017.13,64903.84,86826.87,82805.61,140875.44
c_1,38.54,58.34,142.17,69.28,159.45,196.13,7974.76,13588.32,14610.04,14684.02,10968.34,36117.58,71801.97,87119.66,92582.28,152522.83
d_1,39.76,62.5,62.19,149.77,97.91,206.19,8373.86,13671.69,14554.08,21089.25,31983.1,33786.51,66339.26,76691.0,105334.31,113737.2
b_1,41.21,57.74,49.25,61.28,192.28,328.06,6777.26,10886.41,13122.17,10091.49,19742.34,24975.73,48658.89,90422.75,81456.72,141304.04
a_1,30.04,46.42,48.13,54.75,53.62,369.05,7067.42,10789.01,11791.73,13100.18,13754.62,21477.8,41077.79,69174.6,68277.27,98878.13
h_1,12.5,25.82,16.79,20.34,29.35,46.22,3398.13,4890.69,4715.47,4995.66,6053.93,8035.96,20351.16,21593.44,31270.55,51775.81
g_1,10.15,13.7,15.52,23.57,21.28,36.79,1629.36,5448.24,3435.18,4183.03,4564.78,10426.53,14235.3,18434.33,26985.41,28090.37
d_0,8.43,14.36,25.33,11.53,24.48,44.63,1653.53,2939.34,5285.61,4409.49,3528.94,7059.61,15826.66,22594.41,23268.0,30958.88
b_0,10.21,13.55,16.64,17.21,14.97,39.97,1727.15,3051.37,3465.57,5838.92,4775.34,7873.53,29072.86,22572.24,23165.73,30768.52
c_0,10.55,14.1,13.09,14.35,16.54,47.82,1608.32,2831.76,4327.9,6157.33,6314.88,7529.8,16659.52,20722.49,22855.8,30601.81
f_0,7.53,9.68,13.01,13.71,21.59,36.62,1442.79,2347.35,3094.66,3540.22,3755.48,9138.73,15378.38,18259.17,32798.59,22907.89
a_0,6.33,9.6,9.44,11.89,16.4,22.2,1002.57,2041.45,2585.33,2350.13,2935.82,4235.95,16092.3,15857.32,14158.02,25345.29
h_0,6.53,11.7,9.74,11.34,12.1,25.88,846.17,2432.16,2039.54,2323.52,2712.53,4372.87,10066.21,10112.1,11700.49,22934.08
e_0,5.26,9.66,9.66,8.93,11.67,21.42,912.69,1582.82,2132.01,2598.54,2798.57,3946.08,11441.12,13709.26,20662.1,21398.97
g_0,5.74,6.45,7.7,13.21,10.19,22.31,756.76,1187.96,1954.91,2503.51,2463.1,5563.86,8685.44,9803.31,11593.65,15425.84
