,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,11.95,0.56,1.49,0.71,0.55,0.58,0.9,0.7,0.9,0.97,0.9,0.55,0.97,0.96,0.79,0.63
d_1,0.69,14.28,0.58,0.44,0.64,0.64,1.01,1.03,2.36,0.55,1.34,1.11,0.93,1.12,1.27,1.04
e_1,0.77,0.56,13.09,0.84,0.58,0.58,0.89,1.0,0.84,2.16,1.01,1.06,1.19,0.88,0.91,0.59
c_1,0.61,0.64,0.52,15.96,1.64,0.6,0.77,0.8,0.44,0.78,0.53,0.84,0.81,0.83,0.94,0.96
b_1,0.6,0.67,0.56,0.65,15.02,1.77,0.91,0.86,0.67,0.8,0.49,0.9,0.83,0.63,0.8,1.14
a_1,0.78,0.8,0.67,0.66,0.61,19.52,1.04,1.04,0.81,0.86,1.06,0.97,1.12,0.57,1.02,0.86
h_1,1.2,0.77,0.77,0.74,0.68,0.7,3.75,1.29,1.13,0.79,1.0,1.13,0.69,1.15,1.45,1.09
g_1,0.62,1.64,0.54,0.68,0.77,0.57,1.07,4.36,1.28,0.76,1.24,1.9,1.28,1.08,0.78,1.51
c_0,0.82,1.05,0.61,0.6,0.51,0.69,1.1,1.23,2.57,0.94,3.67,1.25,1.28,1.68,1.12,1.24
d_0,0.7,0.32,0.62,2.72,0.81,0.72,0.94,1.24,0.67,2.25,1.14,1.14,1.12,1.08,1.14,1.26
b_0,0.72,1.09,0.68,0.9,0.34,0.47,1.29,1.11,1.2,1.29,3.09,1.3,1.39,3.81,1.26,1.17
f_0,0.6,0.92,0.64,0.87,0.64,0.82,1.22,1.12,1.03,1.13,1.1,2.98,1.25,1.28,1.27,3.78
h_0,0.98,0.97,0.66,0.82,0.74,0.69,0.69,1.45,1.1,1.12,1.27,0.99,0.74,1.39,1.67,1.2
a_0,0.72,0.76,0.72,0.92,0.66,0.43,1.26,1.17,1.07,1.17,1.22,1.4,1.61,3.79,1.3,1.5
g_0,0.73,1.44,0.61,0.7,0.79,0.67,0.99,0.84,1.44,1.04,1.1,2.02,1.03,1.38,0.89,1.49
e_0,0.71,1.04,0.52,0.83,0.9,0.76,1.32,0.98,1.02,0.98,1.22,1.04,1.17,1.21,1.19,3.85
