,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.12,1.39,1.57,3.61,18.42,34.61,28.54,30.86,38.38,48.29,80.87,99.44,141.0,120.51
f_1,1.16,1.0,1.12,1.39,1.62,3.46,13.09,25.23,33.08,30.38,36.16,31.42,53.9,72.0,84.1,98.69
d_1,0.89,0.89,1.0,0.81,1.35,2.47,16.64,27.24,21.82,40.96,37.02,32.66,61.9,64.73,88.33,64.86
c_1,0.72,0.72,1.23,1.0,1.7,2.56,17.16,15.63,25.76,27.84,29.11,38.89,59.49,74.63,77.47,66.47
b_1,0.64,0.62,0.74,0.59,1.0,2.76,12.12,17.53,15.25,19.65,21.53,27.7,36.22,55.77,59.64,66.49
a_1,0.28,0.29,0.41,0.39,0.36,1.0,6.39,9.11,8.92,10.98,14.54,13.8,24.98,35.84,28.08,31.86
h_1,0.05,0.08,0.06,0.06,0.08,0.15,1.0,1.2,1.62,1.73,2.33,2.39,3.72,5.06,4.35,5.68
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.83,1.0,1.01,1.34,1.6,1.84,2.32,3.01,3.64,4.55
g_1,0.03,0.03,0.05,0.04,0.07,0.11,0.6,0.97,1.0,1.09,1.38,1.95,2.14,3.33,3.03,3.85
c_0,0.03,0.03,0.02,0.04,0.05,0.09,0.57,0.78,0.91,1.0,1.5,1.41,1.78,2.6,3.02,2.85
b_0,0.02,0.03,0.03,0.03,0.04,0.08,0.43,0.62,0.74,0.67,1.0,1.06,1.75,3.27,2.43,2.81
f_0,0.02,0.03,0.03,0.02,0.04,0.07,0.43,0.54,0.54,0.7,0.96,1.01,1.2,2.35,3.97,1.8
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.28,0.41,0.47,0.55,0.58,0.78,1.0,1.27,1.44,1.79
a_0,0.01,0.01,0.02,0.01,0.02,0.03,0.2,0.32,0.31,0.42,0.31,0.44,0.81,1.0,1.05,1.26
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.22,0.27,0.33,0.34,0.43,0.28,0.68,1.01,1.0,1.07
g_0,0.01,0.01,0.02,0.01,0.01,0.03,0.17,0.22,,0.34,0.36,0.56,0.55,0.86,0.98,1.0
