,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.93,0.7,0.36,0.34,0.29,0.21,0.33,0.4,0.3,0.25,0.29,0.19,0.33,0.15,0.2,0.28
e_1,0.46,0.92,0.5,0.32,0.32,0.2,0.33,0.64,0.31,0.26,0.33,0.29,0.38,0.18,0.22,0.25
c_1,0.42,0.35,0.91,0.34,0.62,0.31,0.34,0.36,0.23,0.26,0.19,0.29,0.35,0.24,0.17,0.24
d_1,0.54,0.43,0.31,0.92,0.31,0.21,0.37,0.3,0.61,0.28,0.37,0.27,0.4,0.21,0.22,0.29
b_1,0.41,0.38,0.37,0.37,0.91,0.5,0.34,0.35,0.31,0.26,0.21,0.29,0.31,0.22,0.14,0.27
a_1,0.46,0.38,0.39,0.39,0.32,0.9,0.38,0.4,0.36,0.31,0.31,0.34,0.37,0.22,0.15,0.26
h_1,0.59,0.45,0.4,0.46,0.35,0.2,0.65,0.37,0.35,0.39,0.33,0.32,0.29,0.26,0.26,0.36
d_0,0.43,0.45,0.67,0.31,0.44,0.23,0.36,0.55,0.29,0.28,0.3,0.32,0.36,0.26,0.23,0.29
c_0,0.5,0.46,0.38,0.45,0.28,0.25,0.42,0.42,0.56,0.34,0.61,0.31,0.4,0.25,0.29,0.35
g_1,0.45,0.45,0.42,0.56,0.31,0.23,0.35,0.37,0.36,0.63,0.31,0.44,0.35,0.28,0.23,0.23
b_0,0.56,0.49,0.45,0.41,0.26,0.16,0.4,0.43,0.36,0.34,0.56,0.29,0.46,0.23,0.52,0.34
f_0,0.43,0.36,0.48,0.47,0.37,0.26,0.39,0.43,0.38,0.32,0.35,0.54,0.36,0.5,0.27,0.34
h_0,0.6,0.45,0.41,0.44,0.32,0.25,0.29,0.39,0.36,0.38,0.35,0.28,0.34,0.21,0.23,0.39
e_0,0.49,0.36,0.45,0.46,0.4,0.26,0.37,0.36,0.39,0.31,0.31,0.35,0.36,0.45,0.27,0.37
a_0,0.54,0.46,0.44,0.4,0.4,0.15,0.4,0.5,0.4,0.28,0.36,0.3,0.46,0.28,0.48,0.34
g_0,0.45,0.41,0.39,0.63,0.34,0.22,0.37,0.34,0.43,0.26,0.35,0.44,0.38,0.29,0.25,0.24
