,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.41,1.52,1.99,1.34,1.47,1.37,2.6,3.08,3.04,2.94,3.4,2.09,3.15,3.72,2.77,4.03
c_1,1.47,2.52,1.29,2.34,1.61,1.39,2.46,2.79,1.9,2.92,2.18,3.01,2.85,3.86,3.2,3.94
e_1,1.46,1.84,2.54,1.52,1.21,1.29,3.2,5.14,3.07,2.8,3.44,3.55,3.26,4.32,2.41,4.28
b_1,1.54,1.27,1.39,2.62,1.52,2.44,3.13,2.79,3.15,3.04,2.6,3.27,2.78,3.78,3.73,3.74
d_1,1.44,1.15,1.62,1.4,2.68,1.55,2.83,2.71,4.95,2.53,4.12,4.06,3.87,4.28,3.7,3.95
a_1,1.6,1.54,1.65,1.18,1.63,3.21,3.09,3.14,3.04,2.93,3.68,3.56,2.53,3.96,3.66,4.25
h_1,1.86,1.82,1.43,1.45,1.59,1.35,4.39,3.16,3.07,3.75,3.31,3.17,3.34,3.8,3.14,4.93
d_0,1.66,2.39,1.26,1.74,1.21,1.23,3.05,4.1,2.41,2.84,2.73,3.33,3.2,4.58,4.16,4.01
c_0,1.63,1.58,1.6,1.31,1.45,1.57,3.3,3.88,4.5,2.97,5.7,3.87,4.89,4.81,4.2,4.24
g_1,1.48,1.55,1.44,1.43,2.29,1.3,2.38,2.89,3.52,4.73,3.36,4.52,3.47,4.03,3.5,3.71
b_0,1.72,1.89,1.49,1.24,1.54,1.3,3.21,3.87,3.12,3.04,4.72,3.42,6.53,4.46,3.72,4.46
f_0,1.71,1.77,1.4,1.6,1.45,1.59,3.28,3.7,3.55,2.56,3.57,4.84,3.94,4.49,5.81,3.86
a_0,1.85,1.74,1.65,1.57,1.44,1.38,3.22,3.76,2.8,3.35,3.11,3.37,5.27,5.01,3.77,4.0
h_0,2.0,1.6,1.4,1.57,1.61,1.48,2.33,3.33,2.89,3.59,3.44,3.17,3.58,3.65,3.81,4.8
e_0,1.93,1.54,1.22,1.52,1.68,1.54,3.5,2.78,3.29,3.0,3.5,2.98,3.8,4.51,5.47,4.49
g_0,1.43,1.5,1.3,1.51,2.11,1.66,3.12,3.39,3.54,2.48,3.61,4.89,3.63,4.34,4.52,3.96
