,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.84,0.89,1.07,0.91,0.8,0.71,0.76,0.92,0.68,0.68,0.78,0.61,0.66,0.6,0.67
f_1,1.18,1.0,0.96,0.96,0.88,0.82,0.65,0.73,0.67,0.57,0.62,0.56,0.57,0.48,0.62,0.42
d_1,1.12,1.05,1.0,0.93,0.93,0.89,0.73,0.57,0.61,0.82,0.68,0.6,0.54,0.59,0.47,0.52
c_1,0.94,1.05,1.08,1.0,1.28,0.71,0.69,0.65,0.51,0.59,0.54,0.58,0.61,0.61,0.59,0.55
b_1,1.07,1.14,1.08,0.79,1.0,1.31,0.71,0.71,0.64,0.77,0.69,0.68,0.64,0.65,0.56,0.58
a_1,1.25,1.24,1.14,1.4,0.75,1.0,1.06,0.84,0.82,0.75,0.84,0.75,0.71,0.79,0.72,0.72
h_1,1.41,1.55,1.34,1.46,1.43,0.91,1.0,1.08,0.89,0.94,0.91,0.8,0.8,0.85,0.86,0.77
g_1,1.38,1.38,1.73,1.45,1.33,1.14,0.93,1.0,0.84,0.96,0.88,1.07,0.82,0.79,0.75,0.91
d_0,1.08,1.51,1.72,2.01,1.46,1.2,1.15,1.18,1.0,0.8,0.96,1.03,0.9,0.95,0.88,0.91
c_0,1.43,1.8,1.23,1.75,1.25,1.29,1.07,1.11,1.24,1.0,1.37,1.04,1.02,1.03,0.78,0.87
b_0,1.45,1.58,1.45,1.82,1.48,1.25,1.09,1.13,1.01,0.72,1.0,1.04,1.27,0.98,0.93,0.92
f_0,1.27,1.79,1.7,1.63,1.47,1.33,1.27,0.92,1.01,0.96,1.01,1.0,0.98,1.06,0.67,1.32
a_0,1.6,1.72,1.89,1.67,1.65,1.26,1.23,1.23,1.11,0.92,0.86,1.03,1.0,0.94,1.0,0.95
h_0,1.56,2.03,1.68,1.63,1.5,1.21,1.16,1.28,1.06,0.98,1.0,0.9,1.04,1.0,1.04,0.9
g_0,1.68,1.67,2.22,1.64,1.73,1.37,1.14,1.34,1.13,1.21,1.11,1.42,1.03,0.99,1.0,0.97
e_0,1.51,2.36,1.85,1.86,1.69,1.47,1.28,1.11,1.09,1.18,1.07,0.81,1.03,1.01,1.0,1.0
