,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.92,0.8,1.15,0.97,0.79,0.75,0.86,0.7,0.64,0.65,0.69,0.59,0.58,0.61,0.6
d_1,1.1,1.0,1.07,0.92,0.9,0.73,0.67,0.71,0.57,0.8,0.69,0.65,0.58,0.57,0.55,0.49
f_1,1.21,0.92,1.0,0.98,0.92,0.81,0.58,0.67,0.68,0.59,0.61,0.59,0.56,0.59,0.49,0.57
c_1,0.89,1.08,1.05,1.0,1.28,0.88,0.75,0.53,0.7,0.6,0.51,0.63,0.57,0.55,0.59,0.59
b_1,1.02,1.12,1.09,0.79,1.0,1.39,0.8,0.63,0.73,0.79,0.66,0.62,0.65,0.5,0.61,0.63
a_1,1.26,1.34,1.26,1.1,0.74,1.0,0.91,0.83,0.88,0.8,0.89,0.74,0.73,0.74,0.66,0.74
h_1,1.37,1.44,1.74,1.33,1.27,1.06,1.0,0.84,1.06,0.88,0.83,0.79,0.79,0.81,0.74,0.82
d_0,1.19,1.42,1.39,1.95,1.57,1.31,1.21,1.0,1.09,0.78,0.93,0.85,0.92,0.88,0.8,0.87
g_1,1.42,1.71,1.42,1.44,1.33,1.18,0.96,0.89,1.0,0.97,0.91,1.1,0.74,0.78,0.9,0.88
c_0,1.55,1.26,1.64,1.7,1.28,1.2,1.14,1.32,1.03,1.0,1.29,0.96,1.01,0.99,0.85,0.8
b_0,1.6,1.39,1.64,1.91,1.49,1.14,1.18,1.11,1.16,0.8,1.0,1.05,1.04,1.3,0.85,0.82
f_0,1.53,1.59,1.66,1.62,1.56,1.38,1.22,1.25,0.9,1.06,0.96,1.0,0.9,1.04,1.37,0.84
h_0,1.69,1.74,1.74,1.76,1.5,1.31,1.25,1.07,1.31,1.0,0.95,1.08,1.0,0.88,0.83,1.05
a_0,1.71,1.78,1.66,1.88,1.87,1.29,1.22,1.17,1.35,0.97,0.8,1.0,1.13,1.0,0.96,0.92
e_0,1.68,1.79,2.07,1.69,1.63,1.41,1.49,1.23,1.15,1.1,1.27,0.79,1.12,1.05,1.0,0.96
g_0,1.68,2.05,1.71,1.75,1.54,1.35,1.19,1.15,1.15,1.3,1.19,1.26,0.91,1.12,1.04,1.01
