,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.29,0.62,0.46,0.66,0.53,0.49,1.08,2.03,0.95,1.22,1.12,1.1,1.43,1.13,1.25,0.52
f_1,1.15,2.36,0.54,0.52,0.43,0.32,0.83,1.25,0.75,1.13,1.02,0.47,1.34,0.86,1.2,0.5
d_1,0.54,0.65,2.4,0.47,0.51,0.42,1.12,0.66,0.85,2.05,1.33,1.25,1.5,0.98,1.39,0.97
c_1,0.52,0.58,0.55,2.41,0.95,0.44,1.03,1.17,0.85,0.49,0.83,0.91,1.54,0.77,1.24,1.0
b_1,0.52,0.53,0.61,0.54,2.52,0.89,0.95,1.09,0.82,1.09,0.51,1.22,1.29,0.64,1.09,1.0
a_1,0.52,0.6,0.63,0.66,0.56,3.04,1.0,1.21,0.82,1.35,1.17,1.25,1.38,0.49,1.18,0.91
h_1,0.65,0.98,0.77,0.61,0.54,0.48,3.13,1.59,1.47,1.35,1.11,1.27,1.13,1.24,2.66,1.24
d_0,0.73,0.67,0.38,1.37,0.69,0.57,1.17,2.7,1.03,0.96,1.3,1.29,1.98,1.01,1.44,1.03
g_1,0.59,0.58,1.13,0.7,0.61,0.38,1.19,1.19,3.5,1.34,1.4,2.31,1.77,1.25,1.08,1.34
c_0,0.71,0.79,0.7,0.57,0.56,0.54,1.24,1.62,1.24,2.74,2.72,1.4,2.05,1.52,1.84,1.25
b_0,0.87,0.82,0.68,0.75,0.43,0.28,1.59,1.43,1.34,1.4,3.05,1.61,2.25,2.81,1.51,0.98
f_0,0.55,0.41,0.84,0.8,0.71,0.54,1.37,1.48,1.31,1.3,1.32,2.99,2.03,1.24,1.97,2.94
h_0,0.74,0.96,0.64,0.79,0.74,0.38,0.85,1.35,1.58,1.26,1.45,1.32,1.14,1.22,1.85,1.27
a_0,0.68,0.87,0.88,0.69,0.55,0.23,1.5,1.58,1.26,1.39,1.41,1.59,2.4,3.28,2.17,1.24
g_0,0.59,0.59,1.18,0.7,0.68,0.53,1.06,1.1,0.77,1.48,1.37,2.08,1.73,0.97,1.42,1.4
e_0,0.41,0.87,0.94,0.76,0.6,0.5,1.37,1.44,1.24,1.49,1.63,1.5,2.14,1.33,1.89,3.21
