,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.65,0.7,1.07,0.98,0.94,0.87,0.43,0.43,0.36,0.45,0.38,0.41,0.33,0.3,0.44,0.29
f_1,1.07,0.64,1.01,0.83,0.93,0.77,0.36,0.4,0.35,0.39,0.34,0.38,0.3,0.22,0.3,0.31
c_1,0.81,0.96,0.64,1.14,1.07,0.92,0.48,0.26,0.39,0.44,0.34,0.36,0.29,0.27,0.28,0.28
d_1,1.17,1.18,0.94,0.63,0.91,0.82,0.39,0.47,0.39,0.33,0.33,0.35,0.35,0.27,0.31,0.2
b_1,1.03,1.11,0.71,1.05,0.62,1.09,0.52,0.37,0.46,0.48,0.45,0.39,0.39,0.34,0.3,0.31
a_1,1.28,1.39,1.11,1.33,0.8,0.56,0.56,0.47,0.47,0.58,0.46,0.47,0.58,0.38,0.41,0.32
h_1,1.62,1.7,1.52,1.54,1.36,1.27,0.54,0.56,0.59,0.74,0.57,0.52,0.52,0.52,0.52,0.47
d_0,1.2,1.56,1.95,1.84,1.64,1.57,0.85,0.55,0.62,0.83,0.63,0.61,0.58,0.54,0.61,0.5
c_0,1.82,1.77,2.11,1.21,1.62,1.48,0.74,0.79,0.54,0.71,0.74,0.59,0.68,0.57,0.71,0.45
g_1,1.77,1.84,1.69,1.75,1.67,1.48,0.64,0.65,0.59,0.51,0.57,0.67,0.52,0.42,0.59,0.49
b_0,1.69,1.74,2.26,1.63,1.92,1.56,0.78,0.68,0.47,0.79,0.55,0.58,0.72,0.53,0.67,0.47
f_0,1.62,2.23,1.92,1.81,1.71,1.77,0.83,0.73,0.69,0.6,0.69,0.52,0.64,0.53,0.73,0.4
a_0,1.86,2.1,2.51,1.85,2.3,1.99,0.89,0.8,0.66,0.91,0.48,0.7,0.52,0.65,0.74,0.57
h_0,2.01,2.14,2.23,2.07,1.88,1.61,0.99,0.78,0.7,0.91,0.77,0.75,0.65,0.66,0.62,0.63
e_0,2.18,2.85,2.27,2.39,2.24,1.72,0.93,0.83,0.74,0.82,0.75,0.49,0.7,0.68,0.5,0.6
g_0,2.11,2.16,2.19,2.4,2.07,1.88,0.84,0.88,0.8,1.03,0.8,0.95,0.74,0.55,0.79,0.67
