,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,1.28,1.88,2.34,3.15,24.4,27.82,37.82,52.96,42.83,54.36,80.06,81.57,111.18,118.78
f_1,1.12,1.0,1.06,1.48,1.88,3.11,14.85,25.06,27.01,28.03,33.6,36.0,56.05,65.21,65.99,91.83
d_1,0.78,0.94,1.0,1.36,1.85,3.03,17.79,32.55,24.72,28.29,29.85,36.17,62.49,59.85,88.91,67.54
c_1,0.53,0.68,0.74,1.0,1.83,1.62,11.72,15.88,21.96,14.01,22.72,26.51,43.62,39.32,53.28,65.21
b_1,0.43,0.53,0.54,0.55,1.0,2.19,9.84,12.12,11.51,14.94,11.52,19.91,32.59,30.04,41.89,48.06
a_1,0.31,0.33,0.33,0.62,0.45,1.0,7.0,9.01,10.12,9.87,15.48,15.56,28.95,42.51,29.65,39.8
h_1,0.04,0.07,0.06,0.08,0.11,0.15,1.0,1.22,2.09,1.74,2.03,2.32,3.61,3.51,4.23,6.18
c_0,0.03,0.04,0.03,0.06,0.08,0.11,0.82,1.0,1.21,1.29,1.81,1.67,2.87,2.98,3.24,3.67
g_1,0.03,0.04,0.04,0.05,0.08,0.1,0.48,0.85,1.0,0.9,1.16,1.74,1.76,2.36,2.42,2.8
d_0,0.02,0.03,0.03,0.07,0.07,0.1,0.58,0.76,1.1,1.0,1.21,1.17,2.36,2.13,2.88,3.51
b_0,0.02,0.03,0.03,0.04,0.08,0.07,0.52,0.56,0.83,0.86,1.0,1.19,1.76,3.26,2.39,2.72
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.44,0.59,0.59,0.82,0.79,1.0,1.8,1.83,2.75,2.0
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.28,0.34,0.58,0.43,0.58,0.57,1.0,0.92,1.11,1.59
a_0,0.01,0.01,0.02,0.03,0.03,0.03,0.29,0.34,0.41,0.48,0.32,0.56,1.13,1.0,1.14,1.3
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.23,0.32,0.39,0.34,0.42,0.37,0.9,0.83,1.0,1.04
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.27,0.36,0.27,0.38,0.52,0.61,0.75,0.9,1.0
