,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.14,6.03,11.1,12.54,9.4,11.81,3.4,2.11,3.31,2.23,1.6,1.8,1.44,12.96,2.07,1.94
f_1,10.98,1.14,11.29,11.62,12.26,8.9,2.07,2.22,3.71,1.87,1.94,6.2,1.1,1.61,1.81,1.73
d_1,15.24,13.87,1.13,11.49,12.75,10.92,3.21,13.02,2.06,1.91,2.22,2.56,1.54,2.57,2.29,1.05
c_1,10.74,12.67,16.08,1.14,13.91,13.51,3.29,1.27,3.78,8.7,3.24,3.26,2.01,2.22,2.32,1.4
b_1,13.42,13.41,14.32,7.77,1.14,18.23,3.52,2.91,3.96,3.69,19.64,2.89,2.98,2.78,4.96,1.8
a_1,22.59,22.6,26.11,18.52,10.56,1.15,6.89,6.0,6.33,5.72,6.32,3.76,3.91,5.93,,5.77
h_1,29.56,29.52,25.7,26.91,28.94,25.73,1.93,6.97,10.59,5.34,5.45,5.05,9.86,4.67,5.44,4.11
d_0,15.72,39.37,75.91,44.34,33.65,30.79,9.21,2.65,11.33,9.07,7.64,6.28,4.27,5.65,7.06,4.69
g_1,33.6,43.07,32.32,34.59,32.89,40.83,7.84,7.58,1.92,7.22,7.53,5.6,3.8,7.14,5.19,11.54
c_0,43.2,39.79,16.32,143.09,56.75,24.08,11.82,8.62,9.94,2.6,7.14,6.87,4.87,6.36,7.38,4.92
b_0,36.4,37.36,29.14,46.29,170.24,36.82,11.48,9.2,13.46,4.6,2.67,6.96,5.67,7.45,6.26,7.69
f_0,40.53,152.54,33.31,41.97,37.1,44.71,15.84,7.5,7.34,9.2,9.02,2.67,7.02,6.86,11.45,4.41
h_0,49.76,56.32,49.45,55.23,45.94,56.91,52.8,12.78,15.76,10.58,11.7,11.44,15.92,11.29,8.97,8.82
e_0,112.31,73.22,51.0,92.59,65.77,55.24,22.0,14.68,14.04,11.55,10.0,5.85,8.28,2.8,9.22,8.33
a_0,55.37,62.05,62.77,69.96,93.35,,23.29,14.08,13.46,12.45,5.98,17.17,11.19,14.0,2.86,13.04
g_0,70.2,91.52,77.71,64.24,68.9,60.58,20.84,18.16,,13.51,17.19,13.21,7.67,13.46,15.09,27.27
