,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,1.14,0.67,0.76,0.62,0.51,0.79,0.7,0.81,0.89,0.77,0.5,0.78,0.57,0.77,0.53
e_1,0.78,1.51,0.66,0.9,0.56,0.55,0.93,0.84,0.89,1.45,0.91,0.88,0.97,0.91,0.83,0.54
d_1,0.9,0.73,1.54,0.63,0.63,0.55,0.93,0.75,1.38,0.62,0.97,0.88,1.01,0.76,0.8,0.69
c_1,0.74,0.67,0.81,1.57,1.18,0.56,0.83,0.8,0.5,0.73,0.7,0.89,0.96,0.76,0.8,0.71
b_1,0.77,0.85,0.85,0.64,1.65,1.12,0.81,0.83,0.8,0.78,0.55,0.74,0.95,0.64,0.93,0.74
a_1,0.85,0.92,1.02,0.72,0.6,1.78,0.99,0.81,0.91,0.78,1.08,0.94,1.16,0.65,1.1,0.84
h_1,1.21,0.98,1.01,0.97,0.92,0.74,1.73,1.32,1.01,1.17,1.09,1.13,1.06,0.85,1.38,1.02
g_1,1.16,0.85,1.45,1.02,0.87,0.73,1.02,1.83,1.1,0.95,1.14,1.32,1.16,0.99,0.89,1.12
c_0,1.15,1.09,0.96,0.9,0.82,0.82,1.39,1.2,1.64,1.04,1.99,1.28,1.31,1.07,1.4,1.06
d_0,1.04,0.86,0.77,1.76,0.98,0.86,1.18,1.08,1.05,1.63,1.02,1.25,1.17,0.85,1.18,1.02
b_0,1.17,1.05,0.93,1.16,0.75,0.62,1.3,1.13,1.05,1.38,1.72,1.24,1.44,2.05,1.39,1.07
f_0,0.98,0.81,1.14,1.07,1.04,0.97,1.27,1.14,1.24,1.19,1.26,1.72,1.29,1.07,0.99,1.87
h_0,1.53,1.0,1.07,1.1,0.84,0.78,1.04,1.37,1.27,1.21,1.22,1.15,0.98,1.14,1.59,1.01
a_0,1.42,0.87,1.16,1.02,1.18,0.68,1.46,1.19,1.21,1.46,0.88,1.45,1.39,1.79,1.25,1.29
g_0,1.01,1.06,1.6,1.13,0.84,0.85,1.17,1.1,1.28,1.18,1.34,1.82,1.3,1.1,1.05,0.98
e_0,1.35,0.88,1.14,1.16,1.09,0.89,1.2,1.04,1.27,1.35,1.33,1.02,1.57,1.1,1.54,1.83
