,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.15,99.83,75.1,83.65,72.35,73.28,19.67,16.72,17.55,30.26,18.63,,17.28,10.05,20.21,18.61
e_1,53.18,1.15,126.16,88.43,82.69,111.84,20.14,17.54,14.33,27.84,21.03,29.47,20.57,11.17,,13.96
d_1,106.36,116.47,1.15,103.17,96.47,132.81,40.29,16.34,,17.85,17.16,20.74,22.74,11.17,22.59,8.17
c_1,109.69,134.38,150.19,1.15,152.32,101.19,26.44,,10.03,24.0,19.76,16.97,30.86,13.4,21.33,10.15
b_1,90.0,112.71,116.81,60.69,1.15,111.84,38.45,21.79,24.21,33.14,,18.67,20.57,21.16,16.7,17.63
a_1,175.5,174.7,175.22,171.94,80.39,1.15,52.88,32.68,36.95,36.63,31.05,23.33,,18.27,34.91,20.94
h_1,83.57,99.83,116.81,134.57,120.58,78.7,2.0,23.97,20.65,38.67,17.16,20.0,13.09,,13.24,9.57
c_0,87.75,105.88,44.42,,99.79,85.0,21.15,3.05,18.47,25.78,16.72,20.74,16.62,9.8,20.21,11.96
d_0,97.5,48.53,,75.49,72.35,101.19,23.5,26.63,2.95,26.77,20.38,20.0,16.62,9.8,32.0,13.4
g_1,130.0,112.71,112.64,106.72,96.47,151.79,35.25,21.15,29.25,2.0,20.38,22.4,21.6,20.1,,
b_0,83.57,109.19,85.24,134.57,,106.25,26.44,10.42,20.06,27.84,2.99,21.54,27.0,11.49,24.0,12.88
f_0,,109.19,105.13,93.79,120.58,125.0,25.64,31.26,18.47,19.89,26.08,3.01,39.27,17.48,21.33,10.47
a_0,159.55,158.82,166.0,147.38,206.71,,31.33,31.26,33.43,34.8,15.52,26.67,3.06,22.33,34.91,
h_0,130.0,94.43,95.58,103.17,103.36,101.19,,15.98,30.52,23.2,24.15,23.33,16.0,,12.0,18.61
e_0,175.5,,175.22,162.89,222.62,151.79,40.29,32.68,29.25,,46.57,15.14,27.0,21.16,3.05,
g_0,152.61,109.19,126.16,147.38,131.55,111.84,24.88,26.63,35.1,,24.15,23.33,,18.27,,
