,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.2,0.15,0.23,0.16,0.1,0.14,0.13,0.33,0.17,0.16,0.17,0.16,0.1,0.05,0.12
f_1,0.35,0.89,0.19,0.15,0.13,0.09,0.15,0.12,0.15,0.15,0.14,0.06,0.16,0.1,0.07,0.11
d_1,0.2,0.2,0.89,0.12,0.16,0.11,0.15,0.14,0.07,0.32,0.21,0.15,0.17,0.12,0.12,0.1
c_1,0.16,0.18,0.16,0.88,0.3,0.1,0.17,0.12,0.18,0.05,0.12,0.15,0.14,0.11,0.1,0.12
b_1,0.17,0.23,0.17,0.18,0.88,0.18,0.19,0.13,0.15,0.13,0.05,0.16,0.14,0.06,0.13,0.1
a_1,0.21,0.21,0.18,0.16,0.13,0.87,0.18,0.14,0.18,0.16,0.15,0.18,0.17,0.06,0.1,0.14
h_1,0.22,0.34,0.25,0.17,0.19,0.11,0.54,0.23,0.19,0.17,0.15,0.16,0.09,0.11,0.12,0.22
g_1,0.18,0.2,0.37,0.19,0.19,0.1,0.17,0.56,0.2,0.2,0.16,0.3,0.16,0.11,0.11,0.08
d_0,0.23,0.24,0.09,0.39,0.2,0.16,0.16,0.15,0.43,0.15,0.19,0.18,0.2,0.11,0.13,0.11
c_0,0.24,0.28,0.25,0.13,0.13,0.14,0.2,0.19,0.2,0.44,0.36,0.18,0.22,0.17,0.14,0.14
b_0,0.28,0.25,0.23,0.21,0.09,0.11,0.19,0.16,0.24,0.25,0.43,0.21,0.2,0.28,0.14,0.16
f_0,0.22,0.12,0.25,0.21,0.19,0.15,0.23,0.18,0.24,0.19,0.18,0.41,0.2,0.13,0.3,0.16
h_0,0.25,0.34,0.24,0.21,0.18,0.11,0.11,0.23,0.21,0.21,0.17,0.19,0.13,0.13,0.11,0.21
a_0,0.29,0.28,0.26,0.18,0.17,0.06,0.21,0.18,0.17,0.23,0.21,0.19,0.19,0.39,0.13,0.15
e_0,0.12,0.25,0.27,0.19,0.19,0.13,0.22,0.21,0.22,0.19,0.21,0.23,0.22,0.12,0.4,0.2
g_0,0.23,0.22,0.35,0.21,0.19,0.11,0.19,0.12,0.19,0.22,0.16,0.3,0.17,0.13,0.19,0.09
