,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.91,1.2,0.98,0.71,0.72,0.71,0.87,0.61,0.64,0.66,0.61,0.65,0.57,0.62
f_1,1.19,1.0,0.93,0.98,0.85,0.75,0.62,0.67,0.66,0.62,0.61,0.59,0.53,0.51,0.51,0.6
d_1,1.09,1.05,1.0,0.88,0.86,0.85,0.64,0.62,0.68,0.87,0.74,0.63,0.59,0.61,0.62,0.46
c_1,0.86,1.05,1.12,1.0,1.37,0.88,0.71,0.68,0.5,0.55,0.5,0.64,0.63,0.55,0.56,0.56
b_1,1.03,1.2,1.16,0.75,1.0,1.42,0.74,0.68,0.64,0.79,0.68,0.64,0.67,0.58,0.57,0.58
a_1,1.37,1.32,1.16,1.12,0.76,1.0,0.92,0.89,0.88,0.87,0.92,0.8,0.83,0.79,0.76,0.67
h_1,1.37,1.63,1.55,1.4,1.36,1.08,1.0,1.07,0.85,0.95,0.89,0.95,0.85,0.72,0.77,0.94
g_1,1.41,1.48,1.59,1.45,1.38,1.12,0.93,1.0,0.97,0.99,0.99,1.1,0.78,0.85,0.94,0.88
d_0,1.19,1.46,1.5,1.97,1.55,1.11,1.14,1.06,1.0,0.71,0.82,0.94,0.94,0.89,0.86,0.94
c_0,1.62,1.61,1.21,1.72,1.25,1.07,1.05,1.06,1.39,1.0,1.3,1.04,0.93,1.1,0.86,0.85
b_0,1.57,1.67,1.37,2.02,1.46,1.05,1.13,1.09,1.22,0.75,1.0,0.94,1.06,1.25,0.87,0.97
f_0,1.49,1.67,1.58,1.6,1.54,1.26,1.07,0.91,1.05,0.96,1.03,1.0,1.06,0.96,1.21,0.75
h_0,1.57,1.89,1.68,1.64,1.55,1.18,1.17,1.27,1.07,1.07,0.97,0.93,1.0,0.99,0.86,1.08
a_0,1.56,1.91,1.63,1.87,1.58,1.24,1.34,1.2,1.05,0.94,0.81,0.99,1.02,1.0,0.99,0.92
e_0,1.75,1.91,1.62,1.76,1.69,1.33,1.28,1.11,1.18,1.13,1.13,0.83,1.11,1.03,1.0,0.9
g_0,1.65,1.64,2.18,1.77,1.65,1.36,1.08,1.12,1.07,1.19,1.04,1.28,0.94,1.04,1.16,1.02
