,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,24.69,0.68,0.31,0.3,0.35,0.34,0.7,0.6,0.68,0.82,0.73,0.16,0.72,0.73,0.68,0.85
e_1,0.42,25.05,0.27,0.43,0.28,0.35,0.8,0.8,0.54,1.58,0.73,0.78,0.91,0.58,0.29,0.94
d_1,0.34,0.33,26.93,0.22,0.32,0.34,0.71,1.75,0.68,0.23,1.05,0.93,1.04,0.77,0.92,0.82
c_1,0.27,0.31,0.27,30.73,0.84,0.27,0.7,0.16,0.7,0.64,0.73,0.75,0.92,0.85,0.76,1.05
b_1,0.38,0.27,0.44,0.23,30.1,0.74,0.73,0.71,0.78,0.73,0.18,0.69,0.94,0.67,0.75,0.94
a_1,0.34,0.34,0.37,0.38,0.28,44.01,0.84,0.75,0.57,0.96,0.58,1.06,0.89,0.19,0.62,0.89
h_1,1.06,0.63,0.58,0.68,0.46,0.7,8.98,1.18,1.71,1.03,1.48,1.19,0.5,1.76,1.31,1.74
c_0,0.69,0.57,0.81,0.22,0.56,0.71,1.41,5.27,1.86,1.62,3.67,1.94,1.84,1.96,1.81,1.32
g_1,0.47,0.51,1.38,0.64,0.62,0.5,0.89,1.28,12.01,0.75,1.39,2.28,1.24,1.27,1.08,0.34
d_0,0.72,0.7,0.2,1.69,0.48,0.59,1.5,1.05,1.11,5.23,1.68,1.35,1.37,1.47,1.35,1.09
b_0,0.7,0.67,0.67,0.89,0.22,0.42,1.41,1.74,1.55,1.24,6.76,1.69,1.85,4.41,2.09,1.31
f_0,0.24,0.42,0.84,0.82,0.72,0.53,1.53,1.78,1.44,1.26,1.9,7.12,2.16,2.55,4.51,1.81
h_0,1.08,0.56,0.77,0.72,0.48,0.47,0.56,1.42,1.81,1.58,1.25,1.49,0.52,1.24,1.83,1.78
a_0,0.68,0.65,0.73,1.0,0.56,,1.19,1.56,1.88,1.53,1.59,1.77,2.06,7.83,1.92,1.4
e_0,0.6,0.18,0.67,1.04,0.62,0.63,1.47,1.87,1.64,1.98,1.65,1.92,1.31,1.75,9.88,1.9
g_0,0.42,0.62,1.04,0.73,0.61,0.58,1.48,1.44,0.78,1.89,2.22,2.93,1.27,1.34,1.54,0.54
