,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.48,0.3,0.15,0.15,0.13,0.1,0.19,0.2,0.21,0.18,0.2,,0.22,0.19,0.16,0.12
e_1,0.13,1.49,0.16,0.17,0.2,0.16,0.14,0.16,0.33,0.23,0.18,0.2,0.19,0.16,0.17,
d_1,0.19,0.14,1.53,0.14,0.14,0.15,0.21,0.18,,0.32,0.2,0.21,0.27,0.14,0.15,0.16
c_1,0.18,0.19,0.17,1.55,0.23,0.17,0.22,0.18,0.17,,0.16,0.21,0.21,0.2,0.2,
b_1,0.21,0.18,0.16,0.16,1.6,0.17,0.28,0.17,0.16,0.22,,0.15,0.26,0.13,0.23,0.2
a_1,0.23,0.16,0.2,0.13,0.2,1.73,0.21,0.18,0.17,0.21,0.24,0.21,0.32,,0.17,
h_1,0.49,0.45,0.38,0.37,0.24,0.28,1.64,0.51,0.51,0.48,0.42,0.29,,0.4,0.69,0.43
g_1,0.37,0.47,0.51,0.43,0.34,0.35,0.46,1.72,0.5,0.33,0.36,0.61,0.49,,,
d_0,0.52,0.41,,0.77,0.54,0.39,0.52,0.42,1.41,0.58,0.63,0.54,0.53,,0.41,0.52
c_0,0.49,0.38,0.43,,0.37,0.37,0.64,0.53,0.52,1.41,0.86,0.51,0.67,0.49,0.56,0.56
b_0,0.48,0.41,0.47,0.44,,0.37,0.64,0.72,0.52,0.49,1.46,0.55,0.54,0.63,0.58,0.49
f_0,,0.44,0.51,0.43,0.45,0.34,0.7,0.46,0.66,0.65,0.47,1.52,0.56,0.49,0.57,
h_0,0.71,0.61,0.55,0.58,0.57,0.41,,0.67,0.78,0.73,0.74,0.7,,0.68,0.84,0.49
a_0,0.48,0.5,0.46,0.43,0.56,,0.59,,,0.49,0.53,0.59,0.61,1.61,0.75,0.58
g_0,0.66,0.62,1.03,0.55,0.44,0.52,0.53,,0.94,0.66,0.74,0.79,0.74,0.52,,0.51
e_0,0.72,,0.5,,0.37,,0.55,,0.5,0.6,0.59,,0.82,0.55,0.7,1.65
