,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.12,0.99,0.83,0.83,0.48,0.43,0.59,0.41,0.39,0.41,0.35,0.33,0.29,0.32
f_1,1.29,1.0,1.04,0.93,0.84,0.7,0.37,0.46,0.43,0.46,0.41,0.35,0.33,0.3,0.28,0.34
c_1,0.89,0.95,1.0,1.0,1.34,0.77,0.57,0.48,0.33,0.38,0.34,0.43,0.36,0.35,0.33,0.35
d_1,1.01,1.09,0.99,1.0,0.98,0.78,0.55,0.41,0.56,0.48,0.56,0.42,0.34,0.32,0.36,0.24
b_1,1.2,1.17,0.76,1.02,1.0,1.28,0.54,0.48,0.42,0.47,0.53,0.38,0.32,0.44,0.37,0.41
a_1,1.21,1.42,1.29,1.28,0.78,1.0,0.86,0.7,0.59,0.62,0.51,0.53,0.54,0.51,0.46,0.43
h_1,2.08,2.81,1.75,1.82,1.88,1.18,1.0,1.05,0.87,0.84,0.86,0.72,0.73,0.73,0.73,0.81
g_1,2.35,2.18,2.06,2.52,1.98,1.36,0.95,1.0,0.9,0.95,0.88,1.08,0.72,0.64,0.81,0.76
d_0,1.68,2.23,3.1,1.96,2.31,1.7,1.13,1.08,1.0,1.07,0.76,0.93,0.79,0.91,0.82,0.73
b_0,2.35,2.24,2.57,2.06,2.1,1.58,1.17,1.02,0.93,1.0,0.79,0.94,1.18,0.88,0.77,0.67
c_0,2.59,2.43,2.86,1.74,1.89,2.0,1.17,1.06,1.34,1.29,1.0,0.99,0.85,0.9,0.84,0.76
f_0,2.46,2.81,2.28,2.36,2.62,2.02,1.32,0.92,1.08,1.07,1.02,0.99,0.96,0.95,1.18,0.62
a_0,2.9,3.06,2.66,2.99,3.26,2.12,1.33,1.42,1.32,0.9,1.08,1.01,1.0,1.12,0.86,1.02
h_0,2.98,3.4,2.79,3.01,2.35,1.97,1.39,1.57,1.09,1.12,1.12,1.08,0.94,1.0,0.81,1.03
e_0,3.32,3.64,3.04,2.59,2.65,2.0,1.34,1.14,1.26,1.41,1.26,0.88,1.23,1.25,1.0,1.02
g_0,3.32,2.94,2.83,3.99,2.46,2.24,1.26,1.31,1.39,1.46,1.28,1.56,1.02,0.97,0.97,1.0
