,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.66,0.73,0.61,0.51,0.51,0.59,1.03,0.9,1.82,0.44,1.08,1.03,1.07,0.94,1.15,1.11
f_1,0.65,2.58,1.16,0.62,0.56,0.65,0.73,0.85,0.7,0.79,0.84,0.4,0.86,1.01,0.59,0.75
e_1,0.57,0.7,2.72,0.86,0.62,0.57,0.94,0.79,0.94,1.8,1.01,0.99,0.9,0.81,0.52,0.95
c_1,0.62,0.58,0.55,2.84,1.27,0.53,0.96,0.81,0.4,0.86,0.9,0.92,0.92,1.01,0.92,0.89
b_1,0.62,0.71,0.59,0.67,3.09,1.21,0.74,0.89,0.67,0.96,0.41,0.94,0.77,1.05,0.95,1.0
a_1,0.82,0.71,0.56,0.69,0.62,4.63,0.84,1.05,0.98,0.78,0.82,0.94,0.34,1.13,0.85,0.78
h_1,0.9,1.01,0.71,0.72,0.75,0.66,2.72,1.41,0.99,0.89,1.28,1.2,1.09,0.73,1.46,1.57
g_1,1.23,0.62,0.85,0.71,0.71,0.65,1.04,3.17,1.16,0.83,1.28,1.81,1.06,0.95,1.4,0.56
c_0,0.89,0.89,0.82,0.51,0.64,0.83,1.29,1.21,2.09,1.25,2.26,1.22,1.66,1.11,1.3,1.18
d_0,0.41,0.71,0.74,1.69,0.73,0.73,1.07,0.95,0.83,2.27,1.17,1.25,1.02,1.19,1.12,1.29
b_0,0.77,0.95,0.76,0.89,0.47,0.57,1.25,1.16,1.21,1.3,2.61,1.53,2.37,1.31,1.53,1.6
f_0,1.02,0.5,0.72,0.86,0.84,0.77,1.25,1.09,1.22,1.05,1.3,2.41,1.25,1.2,2.33,1.31
a_0,0.81,0.9,0.74,0.92,0.79,0.43,1.18,1.08,1.1,1.11,1.09,1.39,2.96,1.47,1.35,1.39
h_0,0.89,1.14,0.85,0.69,0.75,0.59,0.71,1.53,1.27,1.2,1.08,0.94,1.19,0.64,1.17,1.31
e_0,0.87,0.92,0.48,0.77,0.73,0.81,1.41,1.3,1.14,1.07,1.15,1.24,1.76,1.32,3.07,1.32
g_0,1.2,0.7,0.68,0.89,0.63,0.75,1.23,0.74,1.24,0.98,1.08,1.75,1.09,1.02,1.41,1.04
