,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.77,1.17,1.13,1.74,1.23,1.1,4.75,4.92,10.95,5.07,5.99,7.56,9.46,3.41,7.36,9.49
d_1,1.24,6.04,1.49,0.95,1.24,1.27,5.02,5.25,2.41,11.43,8.21,6.82,9.9,6.96,8.06,8.57
f_1,2.4,1.23,6.21,1.27,0.96,1.06,4.53,3.61,5.83,5.66,6.3,1.53,6.84,4.0,5.9,8.65
c_1,1.08,1.26,1.24,6.89,2.64,1.23,4.06,4.6,6.04,1.52,4.64,5.77,9.32,5.02,5.62,7.5
b_1,1.07,1.23,1.42,1.11,7.73,2.66,4.94,4.85,6.1,5.98,2.41,6.24,10.0,6.51,3.36,9.01
a_1,1.16,1.43,1.52,1.51,1.07,10.4,4.93,4.67,4.74,6.24,6.84,5.48,9.27,7.58,2.23,9.31
h_1,1.44,1.68,2.21,1.44,1.69,1.48,16.77,7.68,6.47,7.32,6.43,6.81,6.68,9.14,7.95,17.76
g_1,1.37,2.43,1.31,1.59,1.46,1.57,4.97,16.93,6.77,6.83,7.35,11.81,10.07,9.25,6.57,7.71
d_0,1.62,0.95,1.38,3.04,1.56,1.8,5.72,5.26,14.61,5.18,5.45,7.39,11.57,9.31,6.59,14.17
c_0,1.74,2.09,1.82,0.83,1.16,1.48,5.88,6.25,6.05,15.92,14.13,7.83,12.79,8.99,10.04,11.28
b_0,1.4,1.85,1.88,1.63,0.6,1.42,6.65,5.18,7.95,8.16,18.45,8.01,13.99,7.56,19.81,12.57
f_0,1.34,2.1,0.93,1.78,1.65,1.44,6.0,6.02,8.96,7.3,6.86,18.53,14.19,17.22,7.66,15.11
h_0,1.22,1.81,2.45,1.53,1.49,1.73,2.73,8.58,7.38,7.46,8.58,7.56,5.33,8.03,7.49,14.68
e_0,0.71,2.0,1.61,1.78,1.67,1.64,6.17,7.55,9.31,7.25,8.78,8.45,14.73,24.77,8.68,13.44
a_0,1.45,1.69,1.8,1.88,1.63,0.51,6.41,5.33,8.88,6.24,9.24,8.87,14.81,8.85,26.73,11.72
g_0,1.25,2.69,1.37,1.73,1.38,1.3,6.77,3.91,7.25,6.51,6.82,12.43,14.5,10.32,8.52,5.86
