,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.5,1.18,0.68,0.67,0.63,0.54,0.78,0.89,0.81,0.73,0.73,0.53,0.72,0.51,0.64,0.86
e_1,0.7,1.51,0.98,0.68,0.57,0.61,0.84,1.41,0.8,0.76,0.97,0.87,1.04,0.59,0.8,0.85
c_1,0.84,0.6,1.56,0.71,1.22,0.64,0.87,0.74,0.52,0.67,0.56,0.79,0.93,0.81,0.6,0.72
d_1,0.95,0.82,0.64,1.58,0.67,0.49,0.8,0.66,1.34,0.69,0.9,0.81,1.08,0.68,0.75,0.8
b_1,0.81,0.79,0.64,0.75,1.6,1.14,0.83,0.84,0.86,0.73,0.53,0.83,0.98,0.76,0.54,0.83
a_1,0.89,0.72,0.76,0.91,0.64,1.74,1.11,1.04,1.02,1.08,1.14,1.0,0.91,0.85,0.65,0.92
h_1,1.26,1.01,0.91,1.12,0.89,0.68,1.77,1.07,1.06,1.26,1.06,1.14,0.92,1.05,1.01,1.43
d_0,1.0,0.9,1.62,0.7,1.11,0.73,1.11,1.62,1.02,1.06,1.13,1.14,1.28,1.13,0.9,1.3
c_0,1.13,1.03,0.9,0.96,0.82,0.79,1.33,1.35,1.68,1.16,2.0,1.23,1.34,1.0,1.13,1.3
g_1,0.99,0.95,1.18,1.36,0.92,0.8,0.98,1.09,1.03,1.86,1.06,1.46,1.11,1.09,0.99,0.69
b_0,1.25,1.07,1.24,0.91,0.79,0.53,1.34,1.27,1.07,1.25,1.76,1.05,1.49,1.09,1.93,1.19
f_0,0.98,0.9,1.17,1.18,0.99,0.9,1.21,1.31,1.12,1.03,1.28,1.78,1.29,1.95,1.14,1.12
h_0,1.47,0.98,1.08,1.04,0.89,0.86,1.0,1.36,1.31,1.39,1.3,1.1,1.12,0.92,0.98,1.54
e_0,1.31,0.84,1.12,1.34,1.1,0.83,1.35,1.27,1.35,1.08,1.16,1.16,1.32,1.77,1.21,1.5
a_0,1.36,1.12,1.17,1.26,1.19,0.43,1.18,1.65,1.29,1.01,1.0,1.15,1.65,1.29,1.81,1.3
g_0,0.99,1.04,1.09,1.72,0.95,0.84,1.11,1.08,1.32,1.16,1.25,1.72,1.15,1.15,1.17,1.06
