,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.7,4.49,4.32,4.21,4.18,1.42,1.24,0.95,0.88,0.88,1.09,0.94,0.74,1.71,0.87
f_1,4.29,1.12,3.78,4.66,4.25,3.97,0.86,1.36,0.83,0.98,0.84,1.59,0.81,0.44,0.63,0.65
d_1,4.82,4.4,1.11,4.43,4.12,4.65,1.19,0.87,0.86,2.03,0.91,0.86,0.77,0.56,1.03,0.43
c_1,4.03,5.17,7.44,1.13,5.98,4.85,1.54,1.41,1.86,0.54,1.07,0.96,1.08,0.77,1.12,0.75
b_1,6.21,5.96,5.52,3.22,1.14,6.17,2.28,2.14,1.37,1.45,2.44,1.22,1.38,0.91,1.36,0.82
a_1,9.08,9.27,8.66,8.57,4.11,1.14,2.63,2.87,2.42,2.43,2.42,1.81,4.09,1.73,1.55,1.76
h_1,14.17,15.2,13.19,14.68,13.14,11.96,1.71,4.29,2.85,3.38,2.5,2.34,2.54,3.01,2.57,1.8
g_1,15.61,18.22,15.3,18.77,16.22,14.9,3.29,1.75,3.3,3.39,3.07,3.45,3.17,1.91,3.82,3.03
c_0,21.06,23.32,10.03,52.95,20.25,16.04,5.33,5.11,2.17,6.44,4.63,3.57,3.43,3.01,4.23,2.47
d_0,10.65,20.23,37.76,21.49,21.72,20.63,6.64,5.32,4.93,2.23,4.67,3.98,4.72,2.96,4.8,3.79
b_0,18.9,22.75,20.16,25.78,48.96,19.97,6.64,6.11,2.51,4.46,2.3,3.34,4.34,3.18,4.23,2.72
f_0,20.94,40.69,24.31,25.56,24.94,23.17,6.15,4.54,4.23,5.02,5.42,2.44,4.57,3.75,6.57,2.19
a_0,27.92,31.84,26.68,31.54,47.25,41.71,7.9,9.58,5.42,6.72,2.68,5.19,2.53,3.58,6.02,2.86
h_0,29.48,33.91,30.08,36.16,29.59,26.07,14.54,8.53,6.02,6.25,5.27,5.04,5.06,7.22,5.14,4.13
e_0,53.41,54.66,28.62,35.72,37.93,38.31,10.29,8.0,6.56,8.18,6.6,2.92,5.99,3.97,2.4,4.82
g_0,47.24,44.12,34.79,37.53,40.19,36.1,9.64,14.92,7.54,8.18,7.09,6.59,8.67,4.56,6.23,7.95
