,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.49,0.67,0.57,0.81,0.69,0.54,0.74,1.36,0.73,0.72,0.89,0.88,0.62,0.82,0.45,0.83
f_1,1.07,1.51,0.7,0.63,0.56,0.43,0.65,0.69,0.7,0.78,0.7,0.41,0.71,0.77,0.53,0.7
d_1,0.79,0.71,1.55,0.58,0.57,0.54,0.88,0.52,0.68,1.28,0.88,0.73,0.74,0.89,0.82,0.76
c_1,0.65,0.73,0.71,1.55,1.02,0.59,0.83,0.67,0.61,0.39,0.63,0.7,0.64,0.9,0.66,0.89
b_1,0.62,0.78,0.84,0.62,1.61,0.93,0.79,0.85,0.78,0.77,0.36,0.8,0.6,0.87,0.81,0.64
a_1,0.83,0.88,0.65,0.85,0.6,1.77,0.96,0.74,0.83,0.87,0.98,0.85,0.43,0.86,0.67,0.77
h_1,1.0,1.26,0.92,0.83,0.82,0.63,1.73,0.97,0.98,0.88,0.9,0.88,0.92,0.8,0.82,1.25
d_0,0.79,0.98,0.66,1.57,0.88,0.8,1.05,1.6,1.07,0.85,1.14,0.99,0.94,1.23,0.82,1.03
g_1,0.86,0.76,1.32,1.0,0.8,0.63,1.13,0.98,1.84,1.22,0.98,1.45,1.05,1.09,0.99,0.93
c_0,1.0,1.07,0.93,0.82,0.66,0.63,1.3,1.24,1.07,1.62,1.86,1.11,1.1,1.19,0.95,1.29
b_0,0.91,1.2,0.89,1.06,0.63,0.65,1.3,1.09,1.15,0.89,1.65,1.1,1.76,1.25,0.96,1.14
f_0,0.74,0.78,1.18,1.16,0.88,0.81,1.27,1.21,0.97,1.2,1.2,1.68,1.2,1.28,1.87,1.18
a_0,1.2,0.96,0.96,1.14,1.01,0.59,1.34,1.17,1.0,1.02,0.84,1.05,1.76,1.27,1.01,0.98
h_0,1.08,1.37,1.05,0.96,0.89,0.7,0.83,1.12,1.29,1.13,1.03,1.06,1.0,0.93,0.89,1.55
e_0,0.64,1.22,1.11,1.08,0.94,1.04,1.25,1.17,1.14,1.38,1.39,0.95,1.06,1.4,1.73,1.21
g_0,0.99,0.97,1.42,0.94,1.1,0.68,1.14,1.05,0.75,1.0,1.19,1.49,1.06,1.14,1.06,0.88
