,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.49,1.22,0.54,0.57,0.48,0.7,0.79,0.8,0.83,0.85,0.98,0.39,0.96,0.83,0.96,0.64
e_1,0.77,2.61,0.51,0.8,0.57,0.51,0.94,0.93,0.93,1.72,0.94,1.06,1.02,1.09,0.96,0.57
d_1,0.67,0.59,2.73,0.56,0.7,0.51,0.99,1.74,0.83,0.37,1.05,1.03,0.95,0.93,0.94,1.2
c_1,0.6,0.53,0.7,2.76,1.26,0.62,0.89,0.38,0.76,0.85,0.66,0.87,0.99,0.78,0.99,0.91
b_1,0.61,0.57,0.74,0.72,3.23,1.26,0.93,0.78,0.72,0.84,0.47,0.96,0.89,0.89,0.81,0.92
a_1,0.59,0.65,0.75,0.69,0.62,4.81,0.92,0.96,1.09,0.87,1.03,1.04,1.1,0.51,0.95,0.92
h_1,1.11,0.68,0.95,0.7,0.69,0.72,2.61,1.03,1.48,1.19,1.29,1.08,0.71,0.93,1.65,1.03
c_0,0.99,0.7,0.82,0.58,0.53,0.81,1.2,2.13,1.52,1.27,2.44,1.44,1.3,1.42,1.16,1.41
g_1,0.74,0.7,1.19,0.79,0.76,0.64,1.09,1.12,3.37,0.94,1.04,1.72,0.96,1.23,0.64,1.17
d_0,0.8,0.65,0.52,1.57,0.73,0.65,1.06,0.78,1.17,2.1,1.29,1.13,1.11,1.34,1.42,1.31
b_0,0.99,0.77,0.91,0.85,0.37,0.63,0.99,1.09,1.17,1.25,2.66,1.25,1.36,2.65,1.33,1.09
f_0,0.55,0.52,0.98,0.9,0.83,0.8,1.27,1.22,1.23,1.13,1.1,2.61,1.1,1.29,1.13,3.01
h_0,1.23,0.75,0.8,0.8,0.67,0.66,0.71,1.09,1.7,1.0,1.16,1.08,0.79,1.12,1.34,0.92
a_0,0.84,0.75,1.07,0.84,0.85,0.38,1.21,1.11,1.02,1.28,1.14,1.26,1.28,2.95,1.1,1.45
g_0,0.74,0.69,1.22,0.87,0.74,0.57,1.08,1.16,0.94,1.06,1.22,1.87,1.14,1.01,0.82,1.52
e_0,0.93,0.55,0.96,0.97,0.85,0.74,1.04,1.3,0.89,1.12,1.03,1.23,1.29,1.05,1.28,3.35
