,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.89,0.22,0.15,0.2,0.13,0.08,0.16,0.15,0.32,0.19,0.17,0.16,0.11,0.18,0.13,0.07
f_1,0.32,0.88,0.2,0.18,0.11,0.1,0.19,0.13,0.15,0.13,0.16,0.05,0.11,0.13,0.14,0.06
d_1,0.18,0.22,0.89,0.14,0.15,0.1,0.18,0.15,0.06,0.33,0.19,0.15,0.12,0.18,0.12,0.08
c_1,0.19,0.21,0.17,0.88,0.27,0.07,0.16,0.13,0.16,0.05,0.1,0.15,0.1,0.18,0.12,0.09
b_1,0.2,0.2,0.19,0.17,0.88,0.18,0.15,0.12,0.14,0.12,0.05,0.15,0.09,0.16,0.1,0.08
a_1,0.16,0.18,0.2,0.22,0.14,0.87,0.19,0.15,0.17,0.18,0.16,0.13,0.04,0.2,0.13,0.14
h_1,0.25,0.31,0.21,0.22,0.18,0.08,0.56,0.22,0.21,0.21,0.2,0.17,0.13,0.13,0.19,0.12
g_1,0.21,0.15,0.35,0.24,0.17,0.13,0.19,0.54,0.17,0.2,0.16,0.31,0.12,0.17,0.09,0.12
d_0,0.24,0.24,0.14,0.4,0.17,0.11,0.18,0.19,0.42,0.14,0.18,0.2,0.11,0.2,0.14,0.13
c_0,0.23,0.28,0.27,0.14,0.13,0.13,0.19,0.19,0.19,0.43,0.34,0.21,0.17,0.22,0.16,0.11
b_0,0.21,0.28,0.24,0.24,0.08,0.14,0.21,0.22,0.22,0.19,0.44,0.21,0.29,0.23,0.2,0.12
f_0,0.17,0.14,0.29,0.25,0.16,0.13,0.27,0.24,0.23,0.22,0.21,0.42,0.18,0.24,0.16,0.27
a_0,0.22,0.26,0.31,0.21,0.15,0.05,0.22,0.2,0.2,0.18,0.23,0.21,0.4,0.17,0.2,0.15
h_0,0.2,0.35,0.25,0.21,0.17,0.12,0.11,0.22,0.18,0.19,0.16,0.15,0.16,0.1,0.22,0.11
g_0,0.22,0.2,0.35,0.18,0.2,0.11,0.18,0.15,0.22,0.23,0.17,0.31,0.16,0.23,0.11,0.12
e_0,0.11,0.31,0.25,0.26,0.22,0.13,0.22,0.19,0.23,0.18,0.18,0.21,0.12,0.22,0.15,0.35
