,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,35.78,0.06,0.06,0.06,0.07,0.09,0.29,0.28,0.73,0.3,0.42,0.39,0.46,0.38,,0.63
f_1,0.09,36.3,0.06,0.07,0.06,0.06,0.31,0.28,0.4,0.48,,0.39,0.61,0.28,0.37,0.67
d_1,0.05,0.06,38.93,0.05,0.06,0.05,0.34,0.32,,0.84,0.29,0.47,0.67,0.45,0.37,0.55
c_1,0.06,0.08,0.06,42.44,0.15,0.05,0.28,0.34,0.38,,0.44,0.33,0.56,0.28,0.3,0.5
b_1,0.07,0.06,0.05,0.05,50.8,0.16,0.27,0.31,0.39,0.33,0.39,,0.68,0.37,0.4,0.61
a_1,0.06,0.05,0.07,0.09,0.07,74.43,0.23,,0.58,0.49,0.44,,0.55,,,0.52
h_1,0.29,0.4,0.3,0.29,0.24,0.16,29.08,1.74,1.28,1.06,1.37,1.17,,1.96,1.39,1.93
g_1,0.24,0.15,0.38,0.21,0.2,0.33,1.11,32.99,1.13,1.48,2.34,1.32,1.78,2.42,2.05,
d_0,0.36,0.4,,0.8,0.44,0.47,1.72,0.76,17.3,1.88,1.31,1.34,3.75,1.66,1.88,2.68
c_0,0.42,0.32,0.44,,0.23,0.34,1.61,1.25,2.07,18.3,2.05,3.82,2.4,1.23,1.88,4.48
f_0,0.29,,0.44,0.36,0.32,0.32,1.43,1.76,2.59,1.11,24.1,1.53,2.19,1.64,4.57,2.96
b_0,0.36,0.46,0.31,0.27,,0.26,1.4,1.39,1.55,1.95,1.28,23.06,4.17,3.69,1.81,3.16
h_0,0.57,0.92,0.59,0.66,0.51,0.54,,3.05,2.48,3.24,1.87,2.25,,2.47,2.18,6.62
a_0,0.36,0.35,0.27,0.47,0.3,,1.91,1.09,1.88,2.21,2.65,1.8,4.14,30.21,,
e_0,,0.47,0.42,0.26,0.42,,1.66,1.3,2.11,2.47,1.91,2.73,2.67,,33.78,
g_0,0.55,0.32,0.83,0.51,0.45,0.58,2.17,,2.26,2.27,4.69,3.84,7.19,2.58,2.4,
