,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.63,0.37,0.4,0.37,0.21,0.23,0.26,0.24,0.24,0.23,0.1,0.21,0.17,0.14,0.17
e_1,0.47,0.94,0.35,0.42,0.38,0.3,0.3,0.43,0.24,0.21,0.3,0.23,0.28,0.18,0.14,0.22
d_1,0.5,0.49,0.94,0.35,0.42,0.24,0.26,0.18,0.46,0.2,0.26,0.26,0.26,0.23,0.18,0.2
c_1,0.46,0.42,0.44,0.94,0.62,0.28,0.26,0.22,0.13,0.22,0.19,0.21,0.24,0.19,0.18,0.2
b_1,0.45,0.47,0.35,0.37,0.94,0.52,0.36,0.3,0.27,0.25,0.2,0.26,0.27,0.14,0.17,0.24
a_1,0.6,0.5,0.6,0.48,0.31,0.93,0.33,0.31,0.28,0.34,0.25,0.27,0.27,0.13,0.23,0.21
h_1,1.0,0.54,0.7,0.66,0.5,0.39,0.75,0.39,0.38,0.46,0.39,0.29,0.25,0.32,0.26,0.38
d_0,0.82,0.53,0.49,1.18,0.62,0.45,0.54,0.65,0.39,0.42,0.36,0.38,0.43,0.32,0.3,0.33
c_0,0.94,0.82,0.58,0.68,0.48,0.49,0.5,0.41,0.66,0.43,0.71,0.36,0.45,0.39,0.32,0.35
g_1,0.67,0.72,1.0,0.77,0.57,0.32,0.4,0.44,0.39,0.74,0.45,0.55,0.38,0.25,0.3,0.24
b_0,0.94,0.63,0.82,0.87,0.34,0.43,0.51,0.56,0.38,0.37,0.65,0.33,0.42,0.59,0.29,0.31
f_0,0.8,0.55,0.85,0.9,0.65,0.44,0.66,0.47,0.58,0.37,0.51,0.65,0.46,0.38,0.58,0.38
h_0,1.18,0.75,0.79,0.7,0.66,0.63,0.34,0.45,0.43,0.53,0.46,0.39,0.34,0.26,0.29,0.46
a_0,1.05,0.8,0.77,0.82,0.75,0.26,0.61,0.49,0.55,0.5,0.44,0.38,0.53,0.62,0.29,0.4
e_0,0.96,0.6,0.86,0.88,0.77,0.59,0.7,0.52,0.56,0.43,0.54,0.32,0.52,0.38,0.6,0.46
g_0,0.97,0.68,1.22,0.79,0.6,0.62,0.51,0.43,0.55,0.39,0.62,0.56,0.45,0.37,0.37,0.33
