,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.94,0.25,0.31,0.26,0.25,0.18,0.22,0.2,0.21,0.26,0.16,0.15,0.12,0.17,0.06,0.14
f_1,0.51,0.94,0.26,0.29,0.21,0.18,0.18,0.15,0.16,0.18,0.07,0.15,0.12,0.14,0.09,0.13
d_1,0.27,0.3,0.94,0.22,0.27,0.22,0.2,0.18,0.28,0.11,0.16,0.16,0.12,0.13,0.16,0.12
c_1,0.34,0.26,0.31,0.94,0.42,0.19,0.23,0.16,0.05,0.15,0.18,0.14,0.14,0.16,0.12,0.13
b_1,0.31,0.37,0.29,0.23,0.93,0.3,0.24,0.19,0.18,0.18,0.19,0.09,0.11,0.2,0.11,0.15
a_1,0.44,0.33,0.3,0.26,0.24,0.93,0.24,0.2,0.21,0.22,0.19,0.18,0.09,0.21,0.17,0.15
h_1,0.48,0.74,0.54,0.49,0.39,0.34,0.72,0.45,0.32,0.33,0.28,0.34,0.31,0.2,0.24,0.37
g_1,0.51,0.59,0.74,0.64,0.47,0.31,0.25,0.72,0.32,0.25,0.41,0.34,0.26,0.3,0.16,0.22
c_0,0.51,0.71,0.62,,0.41,0.37,0.43,0.36,0.6,0.32,0.37,0.65,0.32,0.31,0.3,0.35
d_0,0.55,0.71,0.3,0.88,0.47,0.28,0.41,0.45,0.37,0.61,0.29,0.35,0.3,0.4,0.24,0.28
f_0,0.54,0.39,0.76,0.63,0.44,0.39,0.44,0.36,0.41,0.48,0.62,0.34,0.28,0.37,0.53,0.29
b_0,0.59,0.68,0.65,0.69,0.22,0.37,0.43,0.39,0.33,0.38,0.43,0.61,0.53,0.34,0.25,0.33
a_0,0.69,0.87,0.74,0.62,0.48,0.2,0.42,0.41,0.37,0.39,0.37,0.28,0.62,0.38,0.31,0.32
h_0,0.59,0.97,0.76,0.56,0.5,0.39,0.25,0.48,0.4,0.34,0.32,0.35,0.28,0.24,0.22,0.35
e_0,0.35,0.91,0.63,0.65,0.74,0.37,0.46,0.46,0.45,0.48,0.31,0.48,0.31,0.42,0.61,0.31
g_0,0.65,0.64,1.12,0.61,0.47,0.38,0.34,0.21,0.37,0.36,0.5,0.4,0.35,0.35,0.34,0.22
