,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.53,1.14,0.5,0.61,0.56,0.55,2.36,2.77,1.97,2.58,0.78,2.8,3.41,2.61,2.11,3.64
e_1,0.63,5.63,0.7,0.47,0.49,0.59,1.83,5.21,2.45,3.15,3.16,3.22,5.55,1.05,3.1,3.25
c_1,0.65,0.49,6.48,0.58,1.18,0.64,2.23,2.49,1.78,0.37,2.79,2.39,4.4,1.87,2.97,5.51
d_1,0.57,0.58,0.51,6.67,0.51,0.53,2.47,0.71,2.38,6.0,3.78,2.48,3.65,3.29,2.86,4.31
b_1,0.67,0.51,0.57,0.66,7.85,1.13,1.86,2.95,1.94,2.05,2.69,0.75,4.79,2.8,3.19,4.62
a_1,0.65,0.57,0.82,0.64,0.5,10.29,1.8,3.32,1.84,2.36,2.44,2.66,4.74,3.34,0.75,3.87
h_1,1.59,0.81,1.08,0.92,0.97,0.86,16.04,4.25,5.71,6.02,3.48,4.72,3.14,4.21,5.02,9.44
d_0,1.21,0.97,1.92,0.34,1.01,0.91,4.56,12.9,3.36,5.16,6.85,5.06,7.22,4.1,4.41,9.13
g_1,1.06,0.86,0.87,1.68,0.94,1.04,3.75,4.21,19.14,3.66,7.57,5.76,6.57,6.56,5.2,3.54
c_0,1.07,1.21,0.36,1.34,0.97,0.91,3.73,4.59,4.5,14.77,5.33,11.01,6.72,7.64,6.42,6.04
f_0,0.4,0.84,1.28,1.49,1.18,1.09,4.11,4.69,3.69,6.08,16.32,5.88,7.59,13.7,4.54,9.67
b_0,1.08,1.18,1.3,0.85,0.37,0.92,5.06,5.0,5.36,6.33,5.65,16.93,7.89,5.59,10.95,7.99
h_0,1.46,0.9,0.98,0.9,1.09,1.09,1.98,4.5,5.18,4.62,5.37,6.61,3.95,5.7,4.79,8.28
e_0,0.87,0.53,1.17,1.0,1.29,1.09,4.91,7.2,4.34,6.63,6.19,7.62,8.47,25.56,8.55,10.25
a_0,1.25,0.78,1.37,1.18,1.12,0.41,5.02,6.11,3.39,5.18,3.94,6.62,8.49,7.15,25.11,8.67
g_0,0.7,1.05,1.08,1.74,1.26,0.9,4.45,2.74,1.29,4.67,7.01,6.06,6.72,6.03,4.44,2.86
