,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.96,0.61,0.52,0.43,0.45,0.34,0.41,0.54,0.3,0.29,0.38,0.31,0.34,0.27,0.27,0.26
f_1,0.54,0.95,0.84,0.48,0.4,0.34,0.35,0.3,0.31,0.36,0.3,0.21,0.29,0.23,0.27,0.18
e_1,0.57,0.53,0.95,0.61,0.51,0.35,0.37,0.35,0.31,0.55,0.35,0.35,0.35,0.26,0.3,0.2
c_1,0.68,0.57,0.52,0.95,0.81,0.34,0.31,0.28,0.31,0.31,0.24,0.28,0.33,0.22,0.28,0.27
b_1,0.67,0.62,0.54,0.39,0.95,0.69,0.43,0.4,0.35,0.34,0.32,0.36,0.34,0.25,0.32,0.25
a_1,0.74,0.74,0.65,0.67,0.44,0.94,0.47,0.41,0.42,0.4,0.43,0.37,0.4,0.23,0.39,0.25
h_1,0.88,1.01,0.81,0.88,0.57,0.47,0.78,0.51,0.62,0.5,0.44,0.45,0.41,0.35,0.49,0.35
c_0,0.87,1.01,0.93,0.7,0.63,0.61,0.65,0.72,0.57,0.6,0.88,0.47,0.55,0.52,0.49,0.41
g_1,1.22,0.86,0.78,0.81,0.67,0.5,0.53,0.55,0.77,0.44,0.48,0.58,0.48,0.4,0.37,0.42
d_0,0.81,0.89,0.76,1.21,0.86,0.61,0.59,0.46,0.51,0.7,0.53,0.45,0.51,0.37,0.45,0.33
b_0,0.95,1.02,0.97,0.98,0.61,0.5,0.65,0.51,0.57,0.56,0.71,0.55,0.55,0.71,0.5,0.45
f_0,1.11,0.9,0.76,0.95,0.81,0.61,0.67,0.64,0.61,0.57,0.54,0.71,0.58,0.5,0.45,0.71
h_0,1.1,1.25,0.97,0.89,0.83,0.57,0.62,0.58,0.64,0.6,0.55,0.51,0.51,0.44,0.62,0.41
a_0,1.14,1.11,1.03,1.0,0.83,0.48,0.82,0.62,0.61,0.62,0.5,0.55,0.65,0.67,0.6,0.5
g_0,1.49,0.98,0.87,0.94,0.79,0.57,0.65,0.68,0.6,0.54,0.56,0.79,0.55,0.43,0.51,0.48
e_0,1.12,1.28,0.91,0.94,0.8,0.7,0.78,0.7,0.66,0.69,0.6,0.45,0.66,0.43,0.49,0.64
