,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,4.91,3.43,3.01,3.99,2.86,1.26,2.65,1.62,1.52,1.6,,1.01,1.93,1.32,2.04
e_1,2.02,0.42,3.65,4.05,4.19,3.24,1.81,1.66,2.4,1.65,1.54,1.92,1.36,1.75,1.41,
c_1,3.77,3.47,0.4,3.39,4.23,3.71,2.15,1.71,1.08,,2.0,1.64,1.15,1.25,1.53,1.57
d_1,4.42,3.92,4.61,0.39,3.95,4.57,1.78,1.33,,1.84,1.2,1.43,1.3,1.37,0.98,1.27
b_1,4.14,3.14,1.93,3.53,0.36,4.75,1.85,2.31,1.72,1.92,,1.96,1.42,1.95,1.43,1.34
a_1,3.67,3.37,3.38,3.36,1.88,0.3,2.09,1.91,1.88,2.26,,,1.92,,,
h_1,1.99,1.72,1.67,1.73,1.72,1.67,0.26,1.11,0.73,0.96,0.72,0.83,,0.67,0.7,0.97
g_1,1.46,2.11,1.96,2.07,1.95,1.79,0.89,0.24,0.91,0.86,0.69,0.98,0.53,1.07,,0.73
d_0,1.58,0.89,1.78,,1.42,1.45,0.87,0.87,0.29,0.72,0.76,0.67,0.78,0.83,0.95,0.51
c_0,1.7,1.38,,0.97,1.44,1.46,0.82,0.9,0.7,0.27,0.84,0.69,0.56,0.86,0.78,0.91
b_0,1.77,2.02,1.9,2.11,,,0.94,0.8,0.82,0.41,0.26,0.73,0.45,0.72,0.44,0.74
f_0,,1.49,1.44,2.28,2.1,,0.86,0.59,0.67,0.67,0.82,0.25,0.91,0.65,0.41,0.68
h_0,1.42,1.65,1.25,1.18,1.15,1.0,,0.7,0.44,0.62,0.7,0.4,,0.78,0.5,0.57
a_0,1.59,1.85,2.25,1.69,1.95,,0.98,0.75,0.63,0.68,0.57,0.77,0.46,0.22,0.58,
g_0,1.47,1.53,1.53,1.27,1.12,,0.59,,0.49,0.46,0.67,0.62,0.44,0.52,,0.52
e_0,1.59,,1.66,2.31,1.73,,0.9,0.99,0.86,0.57,0.55,0.49,0.61,,0.52,0.2
