,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.11,3.65,4.3,3.77,3.8,4.04,0.83,0.91,1.44,0.87,0.76,1.71,0.42,0.82,1.04,0.7
e_1,2.44,1.12,4.44,4.74,5.18,5.13,1.35,1.08,1.44,1.0,0.89,1.17,0.64,0.94,2.26,0.73
c_1,5.51,3.89,1.12,5.7,4.84,4.48,1.34,0.52,1.24,1.46,0.89,0.8,0.77,0.86,0.79,0.61
d_1,6.03,5.58,5.26,1.12,4.39,4.47,1.31,1.82,0.9,0.92,1.1,0.92,0.71,1.08,0.71,0.47
b_1,6.15,6.62,3.04,6.27,1.13,5.66,1.96,1.46,1.44,1.45,2.8,1.1,0.95,1.18,1.09,0.84
a_1,10.43,7.48,8.93,7.42,4.17,1.13,2.89,1.83,2.82,2.15,2.39,2.28,1.19,3.98,1.58,1.25
h_1,14.1,13.86,16.16,15.65,13.47,12.95,1.75,3.44,4.68,2.7,2.95,2.79,2.71,2.97,3.29,2.19
d_0,19.15,10.05,21.97,28.86,24.68,18.87,5.61,2.36,8.1,3.78,3.58,3.86,3.22,4.06,4.33,3.03
g_1,23.77,19.94,22.89,17.1,22.13,18.17,4.66,4.0,1.82,4.08,4.09,3.63,2.13,4.1,3.11,4.07
c_0,19.95,19.61,41.2,10.96,24.9,20.85,5.36,5.28,6.45,2.19,4.86,4.93,3.98,4.06,3.9,3.29
b_0,23.05,21.62,25.95,17.19,44.98,23.58,5.39,4.31,5.59,2.1,2.22,4.39,2.89,5.69,4.13,3.45
f_0,43.75,23.01,29.17,28.09,24.46,20.01,8.61,5.24,3.76,5.74,4.98,2.23,3.7,5.94,5.38,2.12
h_0,34.68,29.91,28.41,25.37,28.75,27.9,12.35,5.64,7.8,5.34,5.56,4.56,7.81,5.19,4.86,4.75
a_0,30.08,30.68,29.96,30.25,36.7,48.32,9.68,6.23,6.8,5.17,2.88,4.43,4.22,2.43,5.92,4.75
e_0,44.77,46.61,49.94,36.16,43.58,25.4,8.97,6.8,8.78,6.46,6.59,2.71,4.49,6.83,2.67,3.76
g_0,32.63,38.18,37.45,35.35,33.6,36.69,8.27,8.46,15.41,8.61,7.54,8.78,4.18,6.95,7.4,7.6
