,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.53,0.64,1.2,0.75,0.61,0.53,0.79,0.69,0.88,0.73,0.51,0.75,0.8,0.87,0.72,0.5
d_1,0.89,1.54,0.78,0.62,0.69,0.47,0.82,0.78,0.63,1.37,0.9,0.98,0.99,0.82,0.76,0.71
e_1,0.67,0.65,1.54,0.83,0.75,0.69,0.88,0.83,1.38,0.87,0.94,0.95,1.04,0.89,0.76,0.62
c_1,0.78,0.81,0.67,1.56,1.17,0.45,0.81,0.7,0.71,0.46,0.78,0.64,0.97,0.87,0.68,0.73
b_1,0.86,0.77,0.72,0.67,1.59,1.09,0.98,0.83,0.85,0.89,0.86,0.6,0.88,0.96,0.6,0.79
a_1,0.89,1.0,0.71,0.96,0.56,1.76,0.93,0.92,1.01,0.91,1.03,1.01,1.05,0.92,0.43,0.78
h_1,1.22,1.02,0.89,1.15,0.86,0.73,1.75,1.21,1.11,1.03,0.99,1.08,0.84,1.47,0.84,1.04
g_1,0.93,1.45,0.93,1.06,0.83,0.77,1.03,1.82,0.96,1.17,1.47,1.21,1.14,0.87,0.78,1.02
d_0,1.0,0.89,0.87,1.67,1.04,0.8,1.3,1.21,1.62,0.88,0.94,1.09,1.19,1.2,1.03,0.99
c_0,1.09,0.99,0.96,0.92,0.88,0.94,1.3,1.28,1.47,1.68,1.31,1.95,1.43,1.34,1.22,1.21
f_0,0.83,1.21,0.87,1.06,1.06,0.88,1.32,1.25,1.28,1.23,1.71,1.29,1.31,1.11,1.07,1.77
b_0,1.18,1.13,0.86,1.29,0.74,0.71,1.3,1.0,1.28,0.98,1.21,1.67,1.47,1.33,1.89,1.14
h_0,1.42,1.17,1.0,1.02,1.08,0.81,0.99,1.38,1.16,1.15,1.31,1.21,1.03,1.57,1.03,0.9
g_0,0.99,1.51,1.07,1.11,0.9,0.88,1.23,1.01,1.15,1.31,1.72,1.29,1.07,0.99,1.18,1.08
a_0,1.08,1.21,1.06,1.08,1.16,0.77,1.47,1.2,1.35,1.08,1.41,1.01,1.56,1.41,1.82,0.87
e_0,1.19,1.27,0.71,1.18,1.13,0.9,1.45,1.32,1.27,1.14,1.14,1.37,1.61,1.51,1.4,1.82
