,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.96,0.69,1.06,0.94,0.84,0.44,0.42,0.45,0.36,0.35,0.4,0.28,0.31,0.38,0.3
d_1,1.14,0.64,1.02,0.96,0.88,0.74,0.4,0.45,0.32,0.38,0.36,0.35,0.26,0.3,0.28,0.2
f_1,1.04,0.91,0.64,0.97,0.9,0.79,0.33,0.36,0.46,0.33,0.33,0.4,0.25,0.32,0.3,0.28
c_1,0.82,1.13,1.03,0.63,1.11,0.86,0.47,0.26,0.45,0.42,0.31,0.36,0.28,0.31,0.36,0.3
b_1,1.0,1.14,1.08,0.7,0.62,1.27,0.51,0.36,0.47,0.49,0.45,0.36,0.33,0.32,0.37,0.32
a_1,1.38,1.44,1.26,1.09,0.68,0.56,0.62,0.51,0.59,0.5,0.6,0.45,0.37,0.55,0.42,0.41
h_1,1.49,1.57,1.83,1.5,1.42,1.28,0.54,0.55,0.73,0.57,0.5,0.5,0.49,0.49,0.47,0.43
d_0,1.21,1.82,1.55,1.97,1.77,1.68,0.91,0.56,0.84,0.56,0.61,0.58,0.54,0.56,0.53,0.52
g_1,1.69,1.74,1.69,1.65,1.53,1.38,0.68,0.61,0.51,0.63,0.59,0.62,0.41,0.49,0.58,0.54
c_0,1.8,1.25,1.84,2.32,1.6,1.43,0.84,0.95,0.77,0.53,0.73,0.62,0.55,0.62,0.54,0.43
b_0,1.81,1.55,1.88,2.34,2.02,1.51,0.83,0.74,0.85,0.47,0.53,0.67,0.59,0.75,0.56,0.46
f_0,1.85,1.75,2.25,1.92,1.79,1.69,0.89,0.86,0.58,0.68,0.61,0.51,0.51,0.67,0.79,0.43
h_0,2.06,2.0,1.98,2.13,1.91,1.63,1.07,0.75,1.0,0.68,0.65,0.77,0.66,0.59,0.56,0.59
a_0,1.99,2.07,1.98,2.26,2.43,1.98,0.91,0.79,1.05,0.66,0.49,0.7,0.67,0.54,0.66,0.56
e_0,2.16,2.06,2.72,2.14,2.03,1.87,1.19,0.82,0.88,0.76,0.85,0.47,0.64,0.7,0.51,0.54
g_0,2.15,2.29,2.15,2.24,1.97,1.84,0.89,0.84,1.01,0.9,0.81,0.82,0.53,0.81,0.69,0.64
