,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.45,2.46,2.63,2.17,1.82,0.77,0.86,0.69,0.8,0.63,0.69,0.53,0.58,1.05,0.55
f_1,2.69,1.06,1.98,2.12,2.01,1.98,0.69,1.01,0.56,0.58,0.69,0.75,0.38,0.6,0.42,0.54
d_1,2.43,2.9,1.06,2.44,2.31,1.95,0.91,0.59,0.71,1.22,0.63,0.65,0.52,0.68,0.56,0.38
c_1,2.1,2.65,2.77,1.06,2.94,2.08,0.93,1.07,0.92,0.47,0.73,0.67,0.6,0.65,0.62,0.55
b_1,2.53,2.73,3.16,1.6,1.06,3.35,1.17,1.11,1.06,0.9,1.11,0.84,0.89,0.75,0.75,0.57
a_1,3.76,3.8,3.15,3.68,2.01,1.07,1.52,1.32,1.2,1.14,1.44,1.2,1.12,1.91,1.1,0.84
h_1,6.71,6.83,5.86,6.29,6.0,4.26,1.34,2.61,1.94,1.7,1.76,1.96,1.88,1.45,1.33,1.65
g_1,6.29,7.49,6.74,6.33,7.04,5.66,2.04,1.34,2.12,2.04,1.97,2.46,1.22,1.8,1.73,1.42
c_0,7.66,7.84,4.33,13.29,7.0,5.92,2.54,2.53,1.53,2.98,2.44,2.18,1.95,1.99,2.29,1.52
d_0,4.92,8.08,9.45,8.17,6.77,6.34,3.1,2.67,2.12,1.56,2.19,2.09,1.72,1.78,1.88,1.65
b_0,7.73,8.18,6.93,8.62,10.78,5.14,3.19,2.62,1.55,2.42,1.52,2.16,1.56,2.33,1.97,1.45
f_0,7.36,14.22,7.47,8.83,7.77,6.51,2.65,1.74,2.24,2.29,2.26,1.52,2.13,2.3,3.12,1.32
h_0,8.73,11.12,9.45,8.7,8.41,6.1,4.43,3.76,2.52,2.55,2.99,2.3,2.6,2.52,2.37,1.92
a_0,9.11,11.48,7.83,12.89,10.51,10.57,3.67,3.98,2.72,3.92,1.73,2.86,1.92,1.57,3.4,2.11
e_0,15.13,15.24,10.49,9.21,8.87,8.94,4.48,3.81,3.05,3.07,3.54,1.97,2.53,2.7,1.62,2.29
g_0,10.14,11.99,11.18,12.26,11.58,11.42,2.92,6.01,3.15,3.82,3.65,3.5,2.2,2.81,3.02,2.98
