,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.87,1.38,1.24,1.55,3.02,19.62,34.61,32.52,31.62,47.04,48.46,82.01,100.74,123.32,143.3
f_1,1.15,1.0,1.18,1.08,1.54,3.06,14.05,21.21,24.24,30.36,25.65,38.12,49.07,72.17,97.84,95.49
c_1,0.73,0.85,1.0,1.16,1.79,2.13,13.03,13.71,20.64,18.66,32.53,34.16,69.33,73.42,103.35,93.28
d_1,0.81,0.93,0.86,1.0,1.22,1.95,12.76,20.33,19.11,31.75,30.87,40.38,59.05,63.7,74.06,92.64
b_1,0.65,0.65,0.56,0.82,1.0,2.69,11.55,13.77,20.61,17.91,32.17,29.29,49.16,63.32,54.74,69.71
a_1,0.33,0.33,0.47,0.51,0.37,1.0,6.09,8.06,8.92,12.68,16.37,21.19,26.25,28.11,40.86,63.58
h_1,0.05,0.07,0.08,0.08,0.08,0.16,1.0,1.34,2.05,1.6,2.09,2.33,3.54,4.67,7.16,6.35
d_0,0.03,0.05,0.08,0.05,0.07,0.12,0.71,1.0,1.12,1.22,1.56,1.62,2.93,3.67,4.12,4.89
g_1,0.03,0.04,0.05,0.05,0.05,0.11,0.5,0.87,1.0,0.92,1.5,1.45,2.1,3.47,2.94,3.52
c_0,0.03,0.03,0.05,0.03,0.05,0.08,0.61,0.89,1.1,1.0,1.37,1.88,2.24,3.05,3.45,3.27
f_0,0.02,0.04,0.03,0.03,0.03,0.06,0.46,0.61,0.67,0.7,1.0,1.22,1.94,2.22,2.15,4.26
b_0,0.02,0.03,0.03,0.02,0.04,0.05,0.43,0.62,0.72,0.5,0.82,1.0,1.57,2.82,2.13,2.64
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.29,0.36,0.46,0.45,0.51,0.62,1.0,1.3,1.8,1.42
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.25,0.28,0.33,0.43,0.37,0.77,1.0,1.03,1.24
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.14,0.24,0.37,0.29,0.45,0.45,0.55,1.0,1.0,1.24
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.2,0.3,0.32,0.24,0.36,0.7,0.83,0.75,1.01
