,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,38.48,21.42,28.07,35.29,55.55,9.09,10.49,6.44,5.45,7.03,7.22,5.49,7.42,,5.02
d_1,39.14,0.44,38.94,42.39,32.66,30.59,12.16,4.9,,6.3,7.83,6.24,3.44,12.16,5.03,3.59
f_1,42.9,36.74,0.43,24.71,35.8,69.47,6.07,12.03,5.89,6.45,6.71,,2.96,8.58,7.26,5.63
c_1,39.94,38.62,30.86,0.42,36.78,36.72,10.81,7.71,4.35,,6.84,9.89,4.68,5.39,10.47,4.21
b_1,30.9,32.3,36.18,20.05,0.4,37.39,11.29,12.78,7.36,8.07,,7.65,5.2,,10.13,7.33
a_1,46.63,52.2,41.28,50.84,23.14,0.34,7.56,20.24,10.85,11.42,8.62,8.82,8.97,,,6.09
h_1,19.6,14.54,19.52,18.61,16.35,21.86,0.37,5.01,4.1,4.22,4.23,3.23,,2.84,3.03,2.5
g_1,21.02,17.42,23.42,22.5,16.97,19.07,4.36,0.36,3.33,4.12,3.18,4.43,2.24,3.84,5.17,
d_0,8.09,,15.01,15.96,13.69,16.16,3.97,4.75,0.49,4.14,3.16,3.05,2.4,4.05,2.32,2.63
c_0,16.82,9.18,14.21,,13.28,12.08,3.74,4.56,3.87,0.52,3.15,3.96,2.79,3.07,2.52,1.5
b_0,20.31,13.41,19.61,22.05,,18.15,4.99,5.88,3.73,1.54,0.47,3.38,2.08,3.28,2.54,1.95
f_0,15.21,15.6,,29.68,19.31,12.24,5.79,2.82,4.05,3.6,4.27,0.45,2.24,2.92,4.03,1.44
h_0,13.82,18.38,13.35,11.0,13.13,11.4,,3.67,2.29,2.21,3.1,2.71,,2.0,2.36,1.84
a_0,37.34,24.07,14.92,14.28,,,5.69,5.72,4.49,4.46,2.08,3.47,3.64,0.41,3.39,3.07
e_0,,21.59,31.52,27.04,23.61,,6.46,6.14,4.49,3.35,3.41,1.88,2.84,4.23,0.38,
g_0,13.46,16.26,16.24,16.37,19.82,11.6,3.29,,2.85,4.49,3.75,2.6,1.35,2.95,,
