,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.31,1.18,1.31,1.37,3.05,14.48,28.23,35.97,28.97,37.79,40.75,73.99,81.58,78.08,133.63
e_1,0.76,1.0,0.99,1.64,1.81,3.76,18.12,42.97,32.86,34.25,48.08,44.57,88.21,95.99,87.21,122.02
d_1,0.85,0.99,1.0,0.94,1.12,3.12,14.08,25.06,19.13,38.16,34.93,36.02,62.47,66.95,77.67,79.77
c_1,0.76,0.62,1.06,1.0,1.68,2.74,12.76,16.56,24.68,22.75,30.48,28.78,64.76,61.77,68.52,95.75
b_1,0.73,0.55,0.89,0.59,1.0,3.21,10.98,18.99,19.84,21.3,30.77,23.15,51.7,59.43,56.47,89.42
a_1,0.33,0.27,0.32,0.37,0.31,1.0,5.41,9.8,8.71,9.16,11.92,16.9,37.0,24.31,22.23,32.58
h_1,0.07,0.06,0.07,0.08,0.09,0.18,1.0,1.65,2.18,1.78,2.31,2.29,4.71,5.48,4.67,8.09
d_0,0.04,0.02,0.04,0.06,0.06,0.1,0.61,1.0,1.05,0.98,1.33,1.55,2.79,2.93,2.97,4.85
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.45,0.94,1.0,0.92,1.5,1.5,2.51,2.51,3.1,4.02
c_0,0.03,0.03,0.03,0.04,0.05,0.1,0.56,0.98,1.1,1.0,1.29,1.9,3.13,2.88,2.78,3.97
f_0,0.03,0.02,0.03,0.03,0.03,0.08,0.44,0.75,0.68,0.72,1.0,1.13,2.09,2.11,3.27,2.07
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.41,0.65,0.72,0.53,0.91,1.0,3.21,2.16,2.04,2.85
a_0,0.01,0.01,0.02,0.02,0.02,0.03,0.21,0.37,0.37,0.32,0.47,0.33,1.0,1.09,1.02,1.37
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.18,0.33,0.4,0.35,0.45,0.47,0.91,1.0,1.0,1.62
e_0,0.01,0.01,0.01,0.02,0.02,0.05,0.2,0.29,0.34,0.35,0.34,0.48,0.96,0.97,1.0,1.24
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.21,0.25,0.24,0.49,0.36,0.69,0.63,0.75,1.0
