,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,1.33,0.85,0.89,0.76,0.6,0.91,0.89,0.94,1.01,0.88,0.69,0.94,0.76,0.54,1.03
e_1,0.89,1.51,0.78,1.09,0.87,0.69,1.02,0.79,0.92,1.68,1.01,0.96,1.16,0.99,0.8,1.1
d_1,1.05,0.96,1.57,0.73,0.8,0.72,1.08,0.93,1.62,0.87,1.13,1.02,1.15,0.98,0.81,0.96
c_1,0.91,0.8,0.98,1.58,1.3,0.84,0.93,1.02,0.83,0.84,0.81,0.98,1.14,0.85,0.9,0.92
b_1,1.01,0.83,0.9,0.87,1.62,1.25,1.09,0.98,1.13,1.02,0.96,0.98,1.19,0.75,0.91,1.0
a_1,1.14,0.97,1.07,0.93,0.78,1.78,1.29,1.19,1.17,1.17,1.18,1.03,1.2,0.92,1.1,1.2
h_1,1.53,1.15,1.07,1.13,0.88,0.78,1.85,1.6,1.33,1.21,1.34,1.12,1.41,1.19,1.15,1.56
g_1,1.11,1.12,1.62,1.01,1.01,0.92,1.05,1.92,1.59,0.99,1.46,1.76,1.38,1.28,1.18,1.3
c_0,1.49,1.3,1.14,1.05,0.87,0.81,1.4,1.16,1.76,1.5,2.16,1.44,1.65,1.38,1.31,1.44
d_0,1.3,1.03,0.96,1.9,1.14,0.81,1.4,1.31,1.06,1.71,1.49,1.09,1.7,1.14,1.04,1.29
b_0,1.44,1.25,1.27,1.32,0.76,0.82,1.44,1.23,1.16,1.29,1.82,1.21,1.54,1.86,1.17,1.35
f_0,1.12,1.12,1.24,1.18,1.15,1.06,1.42,1.21,1.37,1.71,1.61,1.89,1.73,1.45,2.26,1.44
h_0,1.69,1.33,1.28,1.13,1.16,0.93,0.97,1.5,1.27,1.2,1.35,1.14,1.3,1.18,1.18,1.57
a_0,1.53,1.22,1.27,1.37,1.37,0.79,1.5,1.15,1.42,1.45,1.27,1.25,1.77,1.84,0.96,1.4
e_0,1.62,1.04,1.47,1.24,1.15,0.79,1.4,1.52,1.38,1.59,1.54,1.21,1.64,1.9,1.99,1.34
g_0,1.22,1.2,1.78,1.3,1.21,0.9,1.23,1.13,1.48,1.36,1.46,1.77,1.51,1.3,1.47,1.26
