,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.07,2.17,3.29,3.33,3.08,3.02,1.49,1.22,1.23,0.97,1.06,0.98,0.87,0.86,0.76,1.89
f_1,3.7,1.07,3.47,2.91,3.58,3.29,1.04,1.06,1.2,1.02,1.21,0.86,0.51,0.75,0.8,0.73
c_1,3.23,3.63,1.07,4.22,4.23,2.88,1.28,0.67,1.14,1.57,0.96,1.02,0.99,1.0,0.99,0.88
d_1,4.34,3.93,3.37,1.07,3.59,2.64,1.22,2.34,0.95,1.16,0.98,1.16,0.81,0.87,0.58,0.89
b_1,4.36,4.01,2.39,4.09,1.07,3.95,1.61,1.21,1.55,1.12,1.45,2.22,0.89,1.29,0.68,0.89
a_1,5.44,4.5,5.54,5.7,2.63,1.07,2.03,1.65,1.49,1.9,1.67,2.2,1.28,2.51,1.36,2.16
h_1,6.71,7.95,7.92,7.08,6.37,6.18,1.37,2.06,2.95,1.82,1.66,1.7,2.25,1.57,1.79,1.46
d_0,4.96,9.39,9.91,11.52,9.23,7.73,2.96,1.58,3.06,2.46,2.11,1.95,1.9,1.9,1.76,1.83
g_1,7.86,11.24,9.95,8.92,7.42,7.82,2.65,3.15,1.4,2.44,2.29,2.38,1.61,2.6,2.56,1.93
c_0,9.48,8.71,19.49,5.75,9.8,7.44,3.63,3.53,4.16,1.6,2.64,2.65,1.98,2.51,1.97,1.81
f_0,9.51,22.57,9.5,9.18,7.96,7.32,3.8,3.22,2.88,2.64,1.67,2.88,2.43,2.24,1.57,2.86
b_0,10.12,11.27,11.48,7.9,17.18,7.76,4.1,3.74,4.35,1.78,2.53,1.59,2.18,2.95,1.93,2.44
h_0,11.87,15.64,10.35,10.11,10.84,10.58,8.83,4.41,4.73,3.71,3.13,3.23,4.4,3.03,3.12,2.61
a_0,11.64,15.16,12.88,14.51,13.62,22.08,5.66,3.53,4.52,4.03,3.25,2.16,2.78,1.64,2.44,2.67
g_0,12.64,16.65,13.04,12.67,16.03,11.24,4.73,5.04,10.68,4.0,4.15,4.12,2.54,4.23,4.68,3.29
e_0,25.29,17.81,14.74,13.86,15.21,9.06,5.23,4.31,6.66,5.02,2.34,3.83,3.98,3.7,2.31,1.72
