,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.67,3.42,5.58,6.24,6.56,4.9,2.66,2.61,2.8,1.45,2.3,1.81,1.76,2.49,,1.89
f_1,6.92,0.67,6.12,6.92,5.49,6.71,1.96,2.49,1.66,2.0,,1.97,1.16,1.93,2.17,1.57
d_1,8.94,5.57,0.65,5.09,5.24,4.67,2.81,1.92,,2.73,2.25,2.31,2.09,2.29,1.31,0.99
c_1,4.97,5.19,7.04,0.65,7.88,6.32,2.74,2.08,1.59,,1.67,1.86,2.33,2.61,2.28,1.75
b_1,5.6,7.75,6.21,4.06,0.64,7.06,2.24,2.37,2.14,2.95,1.85,,1.9,1.76,2.26,1.59
a_1,8.93,6.54,7.42,6.98,4.4,0.58,3.14,3.2,2.34,2.63,2.67,3.58,1.69,,,1.85
h_1,4.59,6.02,4.51,4.15,5.88,4.52,0.61,2.29,1.76,1.48,1.37,2.01,,1.59,1.49,2.0
g_1,5.33,6.53,5.42,7.03,5.74,5.18,2.16,0.59,1.52,2.13,1.89,2.45,1.03,1.53,1.78,
d_0,2.97,5.59,,5.05,4.69,5.37,2.07,2.56,0.7,1.71,1.69,1.63,1.21,1.93,1.75,1.42
c_0,5.86,4.43,2.95,,4.35,4.13,2.9,1.99,2.07,0.71,2.37,1.88,1.51,1.71,1.25,1.26
f_0,5.18,,5.82,6.1,4.45,4.49,3.17,1.57,2.18,1.6,0.67,1.95,1.35,1.89,2.02,1.01
b_0,6.49,5.25,4.53,5.57,,4.36,2.1,1.93,2.2,1.15,2.32,0.67,1.49,2.0,,1.52
h_0,4.18,5.36,3.58,3.78,3.93,4.68,,3.69,1.67,1.86,1.76,1.39,,1.33,1.33,1.38
a_0,5.84,6.28,6.04,5.08,6.59,,3.27,2.82,2.25,2.05,2.27,1.47,2.08,0.59,,2.06
e_0,,5.4,7.13,6.84,5.95,,2.68,3.23,2.38,2.61,1.44,,2.04,,0.61,1.57
g_0,5.29,6.91,7.65,4.83,5.34,6.41,1.28,,1.85,2.26,1.73,1.84,1.12,1.52,1.74,
