,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.7,0.88,1.15,0.82,0.95,0.63,0.82,0.92,0.67,0.61,0.55,0.63,0.53,,0.47
f_1,1.43,1.0,0.9,1.07,0.84,0.92,0.56,0.75,0.62,0.68,0.58,,0.53,0.52,0.63,0.58
d_1,1.14,1.11,1.0,0.94,1.04,0.88,0.65,0.5,,0.84,0.69,0.59,0.63,0.57,0.55,0.44
c_1,0.87,0.94,1.06,1.0,1.4,0.9,0.76,0.81,0.5,,0.65,0.57,0.59,0.67,0.73,0.68
b_1,1.22,1.19,0.96,0.72,1.0,1.44,0.85,0.65,0.69,0.83,,0.62,0.68,,0.72,0.46
a_1,1.05,1.09,1.14,1.12,0.7,1.0,0.97,0.83,0.74,0.92,0.72,0.8,0.82,,,
h_1,1.58,1.79,1.53,1.31,1.17,1.03,1.0,1.21,0.87,0.81,0.81,0.77,,0.75,0.78,1.13
g_1,1.21,1.33,1.99,1.24,1.54,1.21,0.82,1.0,1.08,0.97,1.14,1.73,0.75,0.73,0.59,
d_0,1.09,1.61,,1.98,1.45,1.34,1.15,0.93,1.0,0.96,0.92,0.92,0.98,1.09,0.83,0.69
c_0,1.5,1.48,1.2,,1.21,1.08,1.23,1.03,1.04,1.0,1.38,0.88,0.8,0.89,0.92,0.75
b_0,1.63,1.73,1.45,1.54,,1.4,1.24,0.88,1.09,0.73,1.0,0.99,1.02,1.26,1.07,0.91
f_0,1.82,,1.69,1.76,1.63,1.24,1.3,0.58,1.08,1.14,1.01,1.0,0.75,0.91,1.2,0.62
h_0,1.58,1.88,1.58,1.7,1.48,1.22,,1.33,1.02,1.25,0.98,1.33,,1.12,0.74,1.24
a_0,1.87,1.91,1.75,1.48,,,1.34,1.38,0.92,1.12,0.79,1.1,0.9,1.0,,
e_0,,1.6,1.81,1.37,1.38,,1.29,1.7,1.21,1.09,0.93,0.84,1.35,,1.0,0.85
g_0,2.12,1.73,2.27,1.46,2.2,,0.89,,1.46,1.33,1.1,1.6,0.8,,1.18,
