,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.06,3.25,3.62,3.03,2.7,3.48,1.1,0.82,0.93,1.72,0.83,0.94,0.96,0.71,0.69,0.51
f_1,3.16,1.07,3.84,2.8,2.84,2.91,0.88,1.34,1.1,0.94,0.91,2.56,0.79,0.53,0.9,0.78
e_1,3.53,2.3,1.07,3.87,3.74,3.31,1.39,1.5,0.96,1.24,1.15,1.19,1.16,0.83,1.63,0.92
c_1,4.86,4.32,2.94,1.07,4.03,2.71,1.58,1.38,1.81,0.6,0.76,1.12,0.78,0.8,0.88,0.72
b_1,4.91,4.27,4.19,2.55,1.07,3.28,1.95,1.74,1.7,1.27,2.26,1.14,0.95,1.01,0.79,1.11
a_1,4.75,7.13,5.22,4.97,3.13,1.07,2.67,1.78,1.66,1.47,1.92,1.44,,1.27,1.39,1.46
h_1,6.98,8.25,7.47,6.7,6.37,5.13,1.37,2.65,2.36,2.09,2.04,1.63,1.88,2.82,2.02,1.57
g_1,9.91,8.89,8.54,7.85,7.22,8.82,2.71,1.38,2.28,2.52,2.73,2.26,2.22,1.63,2.63,2.96
c_0,5.74,8.43,8.79,21.38,8.48,7.92,3.34,3.77,1.6,3.81,3.28,2.1,2.58,2.06,2.55,2.09
d_0,16.3,8.84,5.14,11.86,8.08,8.59,3.87,3.7,2.61,1.73,2.81,2.45,3.28,2.26,2.4,1.95
b_0,8.82,10.17,8.08,14.0,27.16,6.9,3.29,2.9,1.56,2.92,1.64,2.14,2.67,2.09,2.43,1.74
f_0,9.67,15.35,9.4,9.6,10.84,8.13,4.53,2.82,3.34,3.05,3.11,1.63,2.69,2.66,3.45,1.61
a_0,9.99,11.44,10.05,14.76,13.66,,5.48,4.33,3.07,3.26,2.51,3.45,1.67,2.5,3.23,2.17
h_0,11.05,14.65,11.93,12.23,13.44,10.08,6.75,4.35,4.1,3.61,3.91,3.7,3.33,4.53,2.63,2.55
e_0,14.49,17.42,21.1,15.65,14.8,8.75,4.44,3.44,3.59,4.1,4.15,1.76,3.25,4.15,1.66,2.38
g_0,13.45,15.79,12.56,15.83,13.71,9.62,4.49,8.18,3.93,5.09,5.07,3.61,4.67,3.02,4.19,4.68
