,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,1.62,1.0,1.25,1.16,0.91,2.0,2.38,2.25,2.01,2.56,1.31,2.67,1.96,1.85,2.85
e_1,1.14,2.4,1.02,1.33,0.96,1.21,2.3,3.95,2.16,2.54,2.26,2.89,3.16,2.71,2.44,3.17
d_1,1.32,1.17,2.51,0.83,1.07,1.12,2.19,1.67,2.02,4.01,2.87,2.52,3.42,3.09,3.1,2.65
c_1,1.11,1.01,1.2,2.59,1.84,0.96,2.19,2.23,1.93,1.2,2.25,2.52,3.42,2.31,2.36,2.7
b_1,1.0,1.23,1.28,0.99,2.79,2.08,2.24,2.3,2.01,2.17,1.56,2.17,2.38,1.71,1.68,2.83
a_1,1.3,1.03,1.26,1.25,0.88,3.28,2.2,2.27,2.16,2.58,2.9,3.34,3.3,2.34,3.1,3.79
h_1,1.61,1.0,1.35,1.23,1.07,1.04,3.98,2.62,3.47,2.66,2.73,2.5,2.55,2.78,3.13,4.01
d_0,1.34,1.07,0.86,2.1,1.25,1.18,2.45,3.85,2.02,2.27,2.52,2.89,3.41,2.44,3.02,3.75
g_1,1.14,1.07,1.79,1.27,1.22,1.16,1.82,2.56,4.37,2.23,3.15,4.36,3.07,3.14,2.78,2.75
c_0,1.39,1.07,1.18,1.1,1.2,1.22,2.73,2.71,3.37,4.03,4.75,3.06,3.73,3.81,2.91,3.76
b_0,1.29,1.38,1.37,1.36,0.87,0.91,2.66,2.83,2.73,2.31,4.28,3.25,3.11,5.44,3.21,3.07
f_0,0.99,1.06,1.58,1.25,1.6,1.09,2.21,2.53,2.33,2.75,2.87,4.53,3.9,2.79,4.92,3.33
h_0,1.59,1.16,1.15,1.24,1.3,1.46,1.8,2.75,2.92,2.67,3.0,2.8,2.78,3.02,3.02,4.15
a_0,1.47,1.09,1.35,1.4,1.37,0.59,2.67,2.59,2.31,2.69,2.42,2.97,3.28,4.92,2.96,3.23
e_0,1.42,0.8,1.33,1.35,1.56,1.11,2.64,2.95,2.82,2.84,3.02,2.64,3.53,2.57,5.07,5.18
g_0,1.04,1.01,1.95,1.28,1.36,1.13,2.37,2.49,2.44,2.65,2.84,4.35,3.17,3.21,2.65,2.99
