,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.41,0.99,0.91,0.74,0.62,0.42,0.41,0.55,0.36,0.34,0.37,0.26,0.3,0.28,0.35
e_1,0.71,1.0,0.77,1.14,1.07,0.79,0.5,0.61,0.44,0.45,0.43,0.41,0.31,0.37,0.22,0.3
d_1,1.01,1.3,1.0,0.94,0.78,0.82,0.47,0.48,0.33,0.65,0.4,0.39,0.3,0.3,0.35,0.24
c_1,1.1,0.88,1.06,1.0,1.35,0.72,0.54,0.35,0.43,0.41,0.38,0.38,0.38,0.34,0.35,0.36
b_1,1.34,0.93,1.29,0.74,1.0,1.1,0.55,0.49,0.51,0.46,0.54,0.38,0.4,0.38,0.37,0.35
a_1,1.62,1.27,1.21,1.39,0.91,1.0,0.84,0.72,0.55,0.64,0.55,0.77,,0.42,0.42,0.41
h_1,2.46,1.92,2.01,1.86,1.75,1.17,1.0,0.78,0.93,0.74,0.73,0.73,0.6,0.68,0.57,0.7
d_0,2.57,1.56,2.05,3.17,2.23,1.37,1.26,1.0,1.05,0.98,0.93,0.91,0.83,0.89,0.78,0.85
g_1,1.88,2.24,3.05,2.25,1.94,1.84,1.07,0.98,1.0,0.76,0.91,1.07,0.67,0.73,0.78,0.72
c_0,2.85,2.07,1.61,2.49,2.27,1.68,1.34,0.99,1.35,1.0,0.98,1.27,1.05,0.9,0.78,0.77
f_0,3.23,2.22,2.48,2.68,1.94,1.69,1.46,1.12,1.08,0.97,1.0,1.09,0.85,0.96,1.24,0.62
b_0,2.94,2.26,2.54,2.66,2.94,1.15,1.36,1.04,0.96,0.79,0.96,1.0,1.33,1.01,0.89,0.82
a_0,4.08,3.08,3.16,2.69,2.65,,1.69,1.17,1.4,0.94,1.14,0.74,1.0,0.96,1.04,0.94
h_0,3.24,2.61,3.29,2.98,2.48,2.13,1.5,1.18,1.38,1.12,1.07,1.06,1.03,1.0,1.01,0.99
e_0,3.43,3.76,2.6,3.01,2.89,2.34,1.66,1.06,1.37,1.19,0.84,1.17,1.0,1.0,1.0,0.75
g_0,2.92,3.18,4.22,2.91,2.82,2.3,1.44,1.24,1.41,1.31,1.7,1.16,1.06,0.97,1.3,
