,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,0.96,1.1,0.86,0.72,0.53,0.46,0.57,0.43,0.41,0.39,0.39,0.38,0.28,0.31
f_1,1.32,1.0,0.91,0.94,0.75,0.66,0.39,0.46,0.42,0.41,0.4,0.33,0.31,0.27,0.26,0.28
d_1,1.04,1.11,1.0,0.87,0.89,0.75,0.52,0.39,0.48,0.59,0.49,0.39,0.37,0.35,0.36,0.26
c_1,0.92,1.06,1.16,1.0,1.35,0.73,0.53,0.45,0.32,0.36,0.36,0.35,0.37,0.34,0.32,0.3
b_1,1.17,1.32,1.11,0.75,1.0,1.11,0.56,0.57,0.47,0.44,0.45,0.49,0.31,0.45,0.37,0.39
a_1,1.38,1.54,1.33,1.37,0.89,1.0,0.78,0.78,0.57,0.62,0.66,0.45,0.7,0.55,0.49,0.51
h_1,1.94,2.48,1.92,1.94,1.75,1.26,1.0,1.1,0.8,0.82,0.83,0.79,0.67,0.72,0.61,0.76
g_1,2.22,2.21,2.48,2.26,1.84,1.32,0.91,1.0,1.04,0.9,0.89,1.01,0.82,0.82,0.7,0.59
d_0,1.73,2.25,2.19,3.2,2.17,1.73,1.18,1.02,1.0,0.81,0.91,0.77,0.8,0.82,0.83,0.71
c_0,2.5,2.34,1.64,2.83,2.29,1.61,1.23,1.15,1.29,1.0,1.37,0.96,0.96,0.98,0.82,0.7
b_0,2.38,2.46,2.03,2.8,2.23,1.41,1.18,1.1,1.1,0.71,1.0,0.91,1.24,0.94,0.81,0.74
f_0,2.55,2.92,2.49,2.7,2.09,2.32,1.28,0.98,1.38,1.13,1.01,1.0,0.97,1.14,1.28,0.67
a_0,2.68,3.19,2.81,2.6,3.26,1.7,1.45,1.14,1.19,1.03,0.86,1.02,1.0,1.09,1.08,0.97
h_0,2.63,3.7,2.81,2.9,2.27,1.82,1.45,1.25,1.15,1.03,1.11,0.91,0.87,1.0,0.98,1.0
e_0,3.53,3.96,2.86,2.98,2.71,2.06,1.69,1.37,1.27,1.17,1.29,0.76,0.94,0.97,1.0,0.92
g_0,3.19,3.48,3.85,3.37,2.57,2.01,1.32,1.75,1.31,1.38,1.33,1.48,0.97,0.97,1.05,1.0
