,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.08,1.46,2.55,2.49,2.38,2.24,0.71,0.68,0.53,0.47,0.48,0.6,0.35,0.39,0.45,0.6
f_1,2.17,1.09,2.32,2.4,2.31,2.01,0.55,0.71,0.47,0.49,0.48,0.62,0.24,0.35,0.43,0.43
d_1,2.94,2.77,1.09,2.44,2.52,2.29,0.73,0.48,0.75,0.5,0.47,0.47,0.36,0.23,0.51,0.45
c_1,2.2,2.61,3.39,1.1,2.49,2.26,0.73,0.81,0.36,0.7,0.54,0.54,0.42,0.37,0.43,0.46
b_1,2.89,3.41,3.11,1.82,1.1,2.73,0.91,0.92,0.62,0.75,0.74,0.64,0.46,0.47,0.57,0.6
a_1,4.74,5.61,4.53,3.82,2.56,1.12,1.32,1.24,1.07,0.97,0.99,0.77,0.68,0.74,1.11,0.81
h_1,8.56,8.83,8.56,9.2,8.81,7.41,1.49,2.59,1.9,1.69,1.66,1.85,1.5,1.27,1.75,1.46
g_1,11.5,12.06,10.23,11.36,12.11,10.25,2.71,1.56,2.7,2.41,2.33,2.16,1.34,1.83,2.53,2.17
d_0,7.47,10.24,15.88,11.44,11.63,10.94,3.78,4.14,1.81,2.54,2.76,2.64,1.78,1.9,2.2,2.41
c_0,13.87,14.09,7.79,17.16,11.1,13.43,4.06,3.43,3.58,1.82,2.96,2.41,2.01,1.74,2.39,2.46
b_0,15.5,14.79,10.97,20.86,19.25,14.01,4.27,4.02,3.42,1.83,1.96,2.98,2.26,2.02,2.6,2.75
f_0,14.53,18.43,12.75,15.96,15.55,13.62,3.81,2.75,3.54,2.89,3.18,1.79,2.24,1.54,3.09,2.64
h_0,18.83,19.21,17.2,16.28,16.33,14.87,6.77,5.01,3.69,3.7,3.26,3.43,3.12,2.49,3.06,3.37
g_0,23.21,24.11,21.17,20.86,21.86,19.88,4.76,6.85,4.94,4.15,3.89,3.81,2.77,3.26,4.74,3.71
a_0,23.21,22.18,20.39,21.42,29.36,24.66,6.33,5.58,5.05,4.07,2.46,3.81,3.47,3.12,2.16,4.02
e_0,27.74,27.43,20.64,24.36,21.22,18.38,5.95,5.24,4.71,4.61,4.57,2.78,3.55,2.91,4.68,2.24
