,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,1.4,1.55,1.63,1.62,1.77,0.37,0.67,0.29,0.31,0.32,0.52,0.34,0.18,0.27,0.26
e_1,0.96,0.43,1.85,2.16,1.79,1.97,0.5,0.53,0.35,0.39,0.39,0.43,0.34,0.27,0.88,0.31
d_1,2.06,1.89,0.42,1.91,1.57,1.38,0.46,0.33,0.35,0.71,0.35,0.31,0.31,0.21,0.32,0.15
c_1,1.91,1.56,1.88,0.41,1.95,1.55,0.5,0.53,0.87,0.22,0.35,0.36,0.34,0.27,0.34,0.29
b_1,2.07,2.22,2.2,0.96,0.39,1.76,0.66,0.64,0.52,0.47,0.78,0.39,0.44,0.29,0.39,0.26
a_1,2.78,2.75,2.25,2.56,1.25,0.32,0.7,0.63,0.48,0.53,0.81,0.54,1.56,0.42,0.65,0.35
h_1,2.88,2.65,2.71,2.63,2.45,2.67,0.34,0.82,0.56,0.62,0.55,0.57,0.56,0.67,0.46,0.42
g_1,3.34,2.88,3.21,3.03,3.21,3.31,0.68,0.3,0.76,0.68,0.69,0.63,0.52,0.35,0.63,0.85
c_0,3.33,3.23,1.79,5.92,3.34,3.11,1.19,0.77,0.37,0.96,0.76,0.68,0.63,0.48,0.65,0.52
d_0,3.03,1.73,5.97,3.69,3.73,3.66,0.94,0.97,0.65,0.37,0.62,0.72,0.66,0.48,0.73,0.52
b_0,3.12,3.21,2.73,4.19,5.88,4.93,0.85,0.99,0.37,0.78,0.33,0.71,0.66,0.57,0.77,0.47
f_0,6.09,3.61,3.44,3.16,3.09,3.49,1.0,0.63,0.7,0.68,0.71,0.34,0.68,0.49,0.66,0.3
a_0,3.92,3.8,3.64,4.1,4.94,5.79,1.08,1.03,0.69,0.94,0.45,0.83,0.32,0.61,0.85,0.48
h_0,3.98,4.0,3.82,4.06,4.3,3.69,1.46,1.03,0.83,0.79,0.7,0.75,0.63,1.01,0.63,0.61
e_0,5.73,7.4,3.82,4.34,4.24,3.52,1.25,0.86,0.84,0.85,0.73,0.45,0.79,0.61,0.3,0.54
g_0,5.24,4.87,4.31,4.21,5.09,3.39,0.91,2.1,0.83,1.09,0.88,0.88,0.78,0.52,1.01,0.88
