,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.34,0.47,0.24,0.3,0.27,0.3,0.49,0.63,0.47,0.56,,0.62,0.67,0.67,0.5,0.84
e_1,0.23,2.36,0.29,0.22,0.25,0.29,0.5,0.99,0.65,0.6,0.54,0.62,0.95,,0.7,0.54
c_1,0.32,0.25,2.53,0.24,0.43,0.3,0.57,0.57,0.55,,0.62,0.51,0.81,,0.6,0.99
d_1,0.24,0.31,0.3,2.56,0.24,0.28,0.68,,0.52,0.91,0.76,0.49,0.66,0.59,0.69,0.65
b_1,0.29,0.28,0.24,0.33,2.79,0.42,0.51,0.65,0.48,0.55,0.53,,0.86,,0.66,0.73
a_1,0.27,0.26,0.35,0.26,0.24,3.2,0.57,0.78,0.5,,0.54,,0.84,0.67,,0.78
h_1,0.77,0.43,0.61,0.43,0.57,0.45,3.91,1.08,1.45,1.54,0.83,1.08,,0.97,1.36,1.55
d_0,0.7,0.53,0.81,,0.63,0.51,1.3,3.45,1.08,1.58,1.68,1.12,1.86,0.96,1.42,2.03
g_1,0.6,0.39,0.41,0.79,0.48,0.53,0.87,1.18,4.29,0.89,1.9,1.12,1.14,,1.33,
c_0,0.63,0.68,,0.63,0.57,,1.13,1.05,1.29,3.56,1.76,2.28,1.62,1.42,1.48,1.28
f_0,,0.65,0.62,0.56,0.66,0.61,1.41,1.22,0.95,1.41,3.76,1.42,2.06,2.46,,1.73
b_0,0.58,0.67,0.81,0.54,,,1.32,1.42,1.44,1.27,1.37,3.78,1.85,1.14,2.0,1.65
h_0,0.98,0.65,0.77,0.8,0.83,0.67,,1.58,2.01,1.72,1.48,2.0,,1.5,1.32,2.19
e_0,0.48,,,0.75,,0.76,1.42,1.92,,1.57,1.04,1.84,1.79,4.79,,2.01
a_0,0.74,0.48,0.6,0.58,0.53,,1.23,1.42,1.07,1.56,,1.28,1.73,,4.85,
g_0,0.54,0.82,0.63,1.14,0.92,0.73,1.66,1.18,,1.99,2.22,1.65,1.96,1.8,,
