,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,0.98,1.15,1.03,0.98,1.14,1.07,1.54,0.98,1.05,1.19,1.01,1.03,1.3,1.19
f_1,1.27,1.0,0.89,1.02,0.86,1.02,0.77,0.99,0.94,0.87,1.0,0.87,0.82,0.93,0.88,0.92
d_1,1.02,1.12,1.0,0.96,0.87,0.97,1.07,0.83,1.06,1.35,0.97,0.99,1.06,1.01,0.8,0.97
c_1,0.87,0.99,1.04,1.0,1.54,0.86,1.04,0.98,0.74,0.86,0.75,0.95,1.0,0.88,0.99,1.03
b_1,0.97,1.14,1.14,0.65,1.0,1.4,1.03,1.11,0.83,1.13,1.1,1.0,1.04,1.01,0.95,1.0
a_1,1.01,0.98,1.03,1.17,0.72,1.0,1.25,1.06,1.02,1.06,1.23,1.11,1.14,0.85,1.07,1.0
h_1,0.87,1.27,0.97,0.99,0.99,0.82,1.0,1.12,0.97,0.92,0.97,0.9,1.11,1.09,1.15,0.85
g_1,0.93,0.94,1.23,0.97,0.97,1.0,0.89,1.0,0.98,0.79,0.95,1.15,0.91,1.04,1.03,0.98
d_0,0.66,1.09,0.91,1.44,1.17,0.91,0.99,1.01,1.0,0.86,0.99,0.89,1.22,0.99,1.25,0.91
c_0,0.99,1.12,0.76,1.14,0.83,0.87,1.07,1.25,1.15,1.0,1.62,0.89,1.19,0.99,1.14,1.13
b_0,0.99,0.98,1.02,1.51,0.96,0.73,1.03,1.04,0.94,0.63,1.0,0.95,0.98,1.41,0.93,0.94
f_0,0.88,1.03,0.95,1.05,0.94,0.92,1.14,0.88,1.11,1.09,1.04,1.0,1.08,1.13,0.94,1.39
h_0,1.06,1.18,1.0,1.0,0.91,0.88,0.91,1.14,0.82,0.84,1.04,0.89,1.0,0.9,1.29,0.84
a_0,0.95,1.03,1.02,1.15,0.96,0.9,0.93,0.97,1.03,1.02,0.76,0.93,1.12,1.0,0.97,0.91
g_0,0.86,1.12,1.24,0.98,0.95,0.9,0.83,0.95,0.83,0.88,1.04,1.08,0.78,1.05,1.0,0.91
e_0,0.83,1.17,1.09,0.93,0.98,1.0,1.22,0.97,1.07,0.92,1.11,0.73,1.16,1.16,0.94,1.0
