,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,101.78,9.25,12.29,18.93,29.32,51.13,2041.43,5382.04,3168.11,4843.6,7304.34,9038.63,22951.18,23651.26,,34445.74
d_1,11.81,115.62,15.55,14.8,26.67,64.99,1615.82,,2609.79,5834.19,6445.83,10254.03,18809.94,22608.06,32735.86,38333.67
f_1,15.32,11.94,122.01,17.14,25.12,75.08,1290.36,3658.96,2533.63,3657.97,8359.63,,21835.84,26399.85,26480.39,35275.96
c_1,10.24,12.47,11.52,144.71,41.23,73.89,1630.98,2816.87,2700.31,,5145.79,6530.25,18226.2,16682.77,27517.41,43462.84
b_1,8.12,11.25,11.62,10.49,205.72,103.35,1314.98,2613.09,2903.32,3469.36,,6739.12,18865.7,13611.46,23016.19,23834.47
a_1,9.02,7.37,7.8,11.35,10.21,518.2,779.78,1305.56,1826.54,2338.91,,3454.32,13681.73,,,16763.27
h_1,5.02,6.65,9.58,8.17,12.02,41.5,2810.1,1504.3,1932.93,1899.24,3746.0,3921.06,,10127.02,12737.4,13255.14
d_0,4.87,,6.34,11.87,11.47,44.9,883.72,3829.72,1226.37,1732.31,3664.91,3005.1,11646.53,9335.55,8952.87,15144.08
g_1,3.93,7.79,5.12,7.3,8.97,32.4,499.46,1335.41,4730.75,1434.46,2620.65,4532.67,6565.85,8619.84,11953.93,
c_0,4.0,5.79,7.38,,10.91,31.04,671.13,1409.61,1536.73,4460.28,4070.54,3746.98,12861.34,6947.1,9063.45,13755.09
b_0,4.49,4.85,4.36,6.9,,,664.01,1060.57,960.59,1462.13,6947.86,2995.17,9042.37,13925.88,7093.53,11819.59
f_0,4.14,4.07,,5.94,9.15,30.32,543.8,1219.18,932.49,1664.21,2569.11,7644.72,6848.47,8276.67,15419.11,10185.04
h_0,3.64,5.03,4.89,5.32,7.37,29.72,,1114.42,1231.54,818.26,2020.64,2304.57,,6995.42,9034.27,16401.51
a_0,2.86,3.05,2.79,5.43,5.54,,405.07,944.81,706.61,1336.67,1147.62,1956.58,7489.66,17129.18,,
e_0,,2.54,3.49,2.88,5.16,,433.17,1162.91,636.4,1115.72,2052.86,1398.36,4952.78,,21662.24,8580.48
g_0,2.54,4.46,3.67,3.87,7.76,21.88,504.56,855.22,,1406.46,2102.86,2375.47,6128.7,,8018.02,
