,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.43,1.52,1.99,1.47,1.82,1.73,3.28,3.36,5.35,3.29,4.03,3.56,3.54,4.7,3.54,5.06
f_1,2.31,2.47,1.71,1.51,1.64,1.46,2.91,3.36,3.74,3.2,3.1,3.23,3.46,4.35,2.75,4.51
c_1,1.54,1.64,2.58,1.7,2.38,1.74,3.15,3.12,3.03,3.0,3.6,3.05,3.43,4.31,3.86,4.24
d_1,1.72,1.85,1.43,2.64,1.55,1.59,3.21,3.16,2.96,5.57,3.81,4.15,4.38,4.79,4.18,4.19
b_1,1.54,1.66,1.6,1.74,2.68,2.84,3.13,2.97,3.73,3.84,3.67,3.18,3.11,4.6,3.92,4.84
a_1,1.57,1.84,1.79,1.71,1.49,3.42,3.77,3.19,3.42,3.52,3.73,4.29,3.45,4.82,4.37,4.64
h_1,1.7,2.12,1.74,1.81,1.61,1.59,4.26,3.98,3.42,3.33,3.56,3.63,3.35,4.12,3.61,5.39
g_1,1.65,1.65,1.68,2.35,1.58,1.76,2.92,4.64,3.0,3.76,4.94,4.0,4.0,4.57,4.09,4.38
d_0,1.43,1.75,2.65,1.49,1.74,1.71,3.39,3.44,4.35,3.12,3.64,3.51,4.09,4.43,4.07,4.77
c_0,1.76,1.98,1.56,1.71,1.47,1.57,3.78,3.7,3.61,4.91,3.84,6.0,4.76,4.81,3.89,5.24
f_0,1.51,1.8,1.81,1.8,1.71,1.77,3.46,3.04,3.96,3.77,4.97,4.17,4.43,4.94,6.93,4.27
b_0,1.84,1.93,1.77,1.87,1.46,1.36,3.56,3.85,3.41,3.71,3.81,5.16,6.5,4.62,3.55,5.2
a_0,1.71,1.9,1.8,1.63,1.74,1.48,3.64,3.53,3.48,3.84,4.07,3.44,5.42,4.8,4.9,4.43
h_0,1.65,2.02,1.85,1.74,1.63,1.49,2.99,3.94,3.8,3.89,3.32,3.74,4.12,4.21,3.69,5.61
e_0,1.35,2.09,1.77,1.77,1.69,1.7,3.85,3.38,3.33,4.19,3.2,4.05,3.89,5.16,5.53,4.73
g_0,1.51,1.72,1.88,2.25,1.71,1.66,3.19,3.18,3.5,3.72,5.08,3.65,3.8,4.3,4.55,4.27
