,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.43,0.47,0.42,0.46,0.4,0.1,0.1,0.12,0.09,0.09,0.13,0.05,0.09,0.07,0.08
e_1,0.27,0.17,0.45,0.51,0.49,0.45,0.15,0.1,0.15,0.09,0.09,0.11,0.07,0.09,0.08,0.16
d_1,0.5,0.52,0.15,0.43,0.46,0.42,0.13,0.16,0.08,0.09,0.08,0.08,0.06,0.08,0.04,0.08
c_1,0.46,0.34,0.62,0.15,0.39,0.42,0.12,0.05,0.13,0.13,0.1,0.09,0.07,0.09,0.06,0.1
b_1,0.49,0.46,0.49,0.26,0.13,0.46,0.14,0.1,0.15,0.16,0.2,0.08,0.06,0.1,0.07,0.1
a_1,0.59,0.5,0.4,0.42,0.24,0.09,0.14,0.12,0.14,0.11,0.14,0.09,0.09,0.15,0.06,0.1
h_1,0.46,0.38,0.4,0.41,0.43,0.31,0.06,0.08,0.12,0.08,0.07,0.07,0.08,0.07,0.06,0.07
d_0,0.37,0.23,0.66,0.49,0.42,0.36,0.13,0.06,0.17,0.08,0.08,0.08,0.07,0.07,0.07,0.1
g_1,0.49,0.4,0.44,0.37,0.41,0.35,0.09,0.1,0.05,0.1,0.08,0.07,0.04,0.08,0.07,0.07
c_0,0.49,0.39,0.23,0.7,0.42,0.33,0.13,0.13,0.11,0.05,0.07,0.08,0.07,0.08,0.06,0.09
b_0,0.44,0.37,0.33,0.6,0.58,0.29,0.12,0.1,0.1,0.05,0.05,0.08,0.06,0.07,0.05,0.07
f_0,0.59,0.37,0.36,0.4,0.43,0.36,0.12,0.08,0.08,0.08,0.07,0.05,0.06,0.08,0.04,0.09
h_0,0.42,0.41,0.36,0.35,0.41,0.37,0.14,0.09,0.11,0.08,0.08,0.08,0.07,0.07,0.05,0.07
a_0,0.41,0.4,0.4,0.42,0.48,0.43,0.13,0.08,0.11,0.07,0.04,0.07,0.06,0.04,0.06,0.09
g_0,0.44,0.39,0.36,0.43,0.37,0.33,0.09,0.08,0.15,0.07,0.07,0.08,0.05,0.08,0.08,0.08
e_0,0.42,0.55,0.35,0.4,0.42,0.35,0.12,0.08,0.1,0.07,0.06,0.04,0.06,0.08,0.05,0.03
