,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.31,0.44,0.28,0.23,0.17,0.16,0.15,0.17,0.17,0.13,0.06,0.15,0.1,0.1,0.12
d_1,0.3,0.94,0.29,0.25,0.23,0.18,0.19,0.15,0.29,0.08,0.21,0.15,0.18,0.14,0.13,0.12
e_1,0.31,0.25,0.94,0.28,0.23,0.16,0.19,0.17,0.19,0.29,0.19,0.15,0.18,0.13,0.08,0.18
c_1,0.31,0.28,0.27,0.93,0.45,0.2,0.17,0.17,0.08,0.16,0.16,0.17,0.17,0.12,0.13,0.18
b_1,0.31,0.32,0.31,0.21,0.93,0.37,0.23,0.14,0.2,0.23,0.05,0.2,0.19,0.16,0.13,0.15
a_1,0.35,0.4,0.36,0.32,0.2,0.93,0.24,0.24,0.22,0.19,0.2,0.2,0.25,0.09,0.13,0.15
h_1,0.78,0.6,0.5,0.59,0.35,0.26,0.73,0.4,0.32,0.29,0.26,0.28,0.2,0.21,0.23,0.31
g_1,0.57,0.86,0.53,0.51,0.48,0.3,0.36,0.73,0.29,0.26,0.3,0.36,0.28,0.29,0.2,0.18
c_0,0.76,0.58,0.56,0.37,0.42,0.4,0.39,0.39,0.62,0.32,0.54,0.31,0.41,0.32,0.26,0.3
d_0,0.69,0.31,0.5,0.98,0.46,0.39,0.41,0.35,0.29,0.61,0.31,0.38,0.34,0.25,0.26,0.26
b_0,0.83,0.55,0.61,0.58,0.38,0.39,0.44,0.39,0.33,0.38,0.61,0.32,0.38,0.47,0.25,0.3
f_0,0.54,0.78,0.52,0.66,0.42,0.36,0.49,0.38,0.42,0.34,0.41,0.61,0.46,0.32,0.49,0.28
h_0,0.95,0.61,0.53,0.57,0.61,0.35,0.26,0.46,0.31,0.37,0.37,0.31,0.29,0.27,0.29,0.39
a_0,0.91,0.58,0.73,0.61,0.53,,0.5,0.35,0.36,0.41,0.31,0.38,0.43,0.61,0.33,0.37
e_0,0.71,0.78,0.35,0.77,0.62,0.4,0.53,0.45,0.42,0.39,0.43,0.34,0.36,0.25,0.61,0.33
g_0,0.8,1.14,0.42,0.55,0.56,0.36,0.49,0.28,0.46,0.33,0.39,0.51,0.38,0.29,0.27,0.23
