,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.53,0.87,1.11,0.81,0.87,0.71,1.02,1.68,0.92,0.87,0.95,1.07,0.98,1.13,0.7,1.08
f_1,1.38,1.53,0.84,0.8,0.82,0.71,0.84,1.1,0.97,0.8,0.97,0.75,0.88,0.94,0.71,1.01
c_1,0.78,0.94,1.56,0.96,1.3,0.72,0.98,0.82,0.8,0.91,0.82,1.0,0.74,1.1,0.89,1.01
d_1,0.95,1.02,0.7,1.57,0.84,0.73,1.13,0.78,1.63,0.93,1.24,0.98,1.03,1.16,0.95,0.82
b_1,0.89,0.96,0.91,0.94,1.58,1.15,1.06,1.02,1.06,0.86,0.76,0.87,0.79,1.13,0.87,1.11
a_1,1.06,1.0,1.03,1.05,0.8,1.77,1.24,1.22,1.04,1.05,1.04,1.08,1.01,1.21,1.1,1.32
h_1,1.08,1.56,1.1,1.13,1.07,0.82,1.84,1.22,1.18,1.42,1.3,1.17,1.22,1.11,1.13,1.46
d_0,0.98,1.19,1.93,0.97,1.22,0.77,1.24,1.76,1.05,1.32,1.0,1.15,1.11,1.42,1.07,1.22
c_0,1.21,1.35,1.14,1.12,0.97,0.95,1.49,1.45,1.79,1.37,2.15,1.56,1.43,1.43,1.05,1.29
g_1,1.14,1.11,1.16,1.62,1.18,0.89,1.13,1.05,1.35,1.95,1.26,1.71,1.19,1.26,1.39,1.05
b_0,1.13,1.22,1.28,1.21,1.04,1.11,1.38,1.52,1.31,1.32,1.86,1.41,2.03,1.45,1.26,1.45
f_0,0.98,1.21,1.2,1.25,1.3,1.03,1.5,1.52,1.35,1.2,1.47,1.86,1.35,1.73,2.11,1.19
a_0,1.2,1.37,1.4,1.23,1.24,0.8,1.53,1.56,1.49,1.34,1.24,1.32,1.84,1.59,1.21,1.44
h_0,1.2,1.59,1.25,1.24,1.13,1.01,1.13,1.38,1.49,1.59,1.41,1.29,1.2,1.4,1.23,1.88
e_0,1.07,1.53,1.16,1.38,1.26,0.83,1.62,1.48,1.65,1.38,1.47,1.12,1.39,1.59,1.83,1.68
g_0,1.18,1.22,1.19,1.83,1.15,0.92,1.44,1.34,1.65,1.11,1.22,1.91,1.21,1.31,1.22,1.37
