,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.05,1.83,1.54,1.63,1.44,1.26,0.48,0.48,0.57,0.47,0.61,0.46,0.31,0.44,0.34,0.44
e_1,1.19,1.05,2.1,1.54,1.62,1.51,0.64,0.64,0.64,0.47,0.6,0.47,0.43,0.54,0.5,0.36
c_1,2.0,1.5,1.05,2.22,2.01,1.38,0.6,0.38,0.67,0.59,0.52,0.47,0.43,0.42,0.43,0.4
d_1,2.02,2.13,1.74,1.05,1.76,1.49,0.72,0.77,0.47,0.64,0.54,0.58,0.45,0.44,0.44,0.29
b_1,2.47,2.27,1.34,2.3,1.06,2.21,0.86,0.68,0.89,0.76,0.59,0.78,0.53,0.54,0.61,0.47
a_1,3.24,2.76,2.62,2.74,1.46,1.07,1.15,0.89,1.05,0.92,0.71,0.91,0.64,0.69,0.98,0.58
h_1,5.87,4.87,5.34,4.65,4.66,4.07,1.28,1.38,1.85,1.35,1.35,1.48,1.21,1.11,1.26,1.11
d_0,5.67,3.88,7.25,6.84,4.93,4.31,2.39,1.42,2.3,1.68,1.77,1.9,1.32,1.36,1.43,1.64
g_1,6.32,5.57,5.56,5.74,5.45,5.12,1.72,1.81,1.29,1.4,1.88,1.53,1.12,1.44,1.56,1.3
c_0,6.75,6.26,8.61,3.77,6.33,5.54,2.47,2.15,2.37,1.41,1.69,2.38,1.52,1.63,1.72,1.26
f_0,8.56,5.77,6.56,5.67,6.12,5.62,2.59,1.88,1.6,1.75,1.4,1.84,1.47,1.82,1.63,0.97
b_0,7.26,6.78,9.59,5.29,7.79,5.22,2.5,1.97,2.2,1.11,1.78,1.41,1.43,1.51,1.87,1.34
h_0,8.63,7.41,7.4,7.25,6.69,6.16,3.53,2.34,2.69,2.13,2.02,2.14,1.94,1.69,1.71,1.61
e_0,12.21,9.73,9.64,8.11,9.05,7.63,3.92,2.97,2.91,2.27,1.56,2.49,2.06,1.51,2.25,1.75
a_0,10.99,8.95,10.0,8.89,9.25,7.25,3.8,2.93,2.94,2.11,2.74,1.68,2.14,2.05,1.51,1.97
g_0,9.58,10.31,9.11,9.73,8.06,8.26,2.86,2.45,3.61,2.75,2.72,2.58,1.78,1.99,2.06,2.1
